round,pair_key,module,gap_family,substrate_name,product_name,source_db,source_id,source_title,evidence_type,round6_positive_status,source_reaction_check_status,round7_import_recommendation,exact_text_or_table_needed,compound_mapping_needed,organism_or_enzyme_needed,direction_needed,stereochemistry_needed,assay_context_needed,negative_evidence_needed,pmid_or_doi_tokens,round7_training_decision,minimum_fields_before_training
7,QAIPRVGONGVQAS__DZAUWHJDUNRCTF,A,phenolic_ester_hydrolysis,caffeic acid,dihydrocaffeic acid,Local_Round2,PMID:40528807;DOI:10.1002/jsfa.70000,Local Round2 curated source for caffeic acid reduction to dihydrocaffeic acid.,in_vivo_and_in_vitro,eligible_after_exact_extraction_and_rule_source_check,deprecated_mapping_unresolved_in_current_reac_prop,manual_metanetx_deprecation_review,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:40528807;DOI:10.1002/jsfa.70000,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,ATJVZXXHKSYELS__KSEBMYQBYZTDHS,A,phenolic_ester_hydrolysis,ethyl ferulate,ferulic acid,PubMed,PMID:19502437,Biochemical properties of two cinnamoyl esterases purified from a Lactobacillus johnsonii strain isolated from stool samples of diabetes-resistant rats.,purified_enzyme_from_stool_isolate,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:19502437,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,RIUPLDUFZCXCHM__WXUQMTRHPNOXBV,A,ellagitannin_urolithin_multistep,urolithin A,urolithin B,PubMed,PMID:29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",strain_fermentation,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:29583112,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,A,ellagitannin_urolithin_multistep,urolithin C,urolithin A,PubMed,PMID:39856097,A multi-subunit molybdoenzyme removes the 9-hydroxyl group from urolithin C to generate urolithin A.,direct_enzyme_assay,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:39856097,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,HHXMEXZVPJFAIJ__WDGSXHQNUPZEHA,A,ellagitannin_urolithin_multistep,urolithin C,isourolithin A,PubMed,PMID:29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",strain_fermentation,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:29583112,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,lignan_deglucosylation,2'-fucosyllactose,L-fucose,PubMed,PMID:31138818,Novel Genes and Metabolite Trends in Bifidobacterium longum subsp. infantis Bi-26 Metabolism of Human Milk Oligosaccharide 2'-fucosyllactose.,HMO_metabolism_and_gene_trends,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:31138818,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,lignan_deglucosylation,2'-fucosyllactose,L-fucose,PubMed,PMID:19520709,Two distinct alpha-L-fucosidases from Bifidobacterium bifidum are essential for the utilization of fucosylated milk oligosaccharides and glycoconjugates.,enzyme_and_utilization,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:19520709,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,lignan_deglucosylation,pinoresinol,lariciresinol,PubMed,PMID:12736449,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",human_intestinal_microflora_and_isolate,eligible_after_exact_extraction_and_rule_source_check,source_reaction_candidate_verified_not_imported,manual_direction_license_and_exact_pair_check_before_import,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:12736449,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,MHXCIKYXNYCMHY__PUETUDUXMCLALY,A,lignan_multistep_demethylation_dehydroxylation,lariciresinol,secoisolariciresinol,PubMed,PMID:11453749,In vitro metabolism of plant lignans: new precursors of mammalian lignans enterolactone and enterodiol.,in_vitro_human_metabolism,eligible_after_exact_extraction_and_rule_source_check,source_reaction_candidate_verified_not_imported,manual_direction_license_and_exact_pair_check_before_import,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:11453749,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
7,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,flavanone_ring_fission,isoxanthohumol,8-prenylnaringenin,PubMed,PMID:20397197,Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.,human_microbiota_associated_animal_model,eligible_after_exact_extraction_and_rule_provenance_recovery,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,True,True,True,True,True,True,only_if_paper_reports_tested_no_conversion; absence from databases is not a negative,PMID:20397197,not_training_positive_yet,substrate_inchikey;product_inchikey;substrate_smiles;product_smiles;exact_source_sentence_or_table;PMID_or_DOI;organism_or_enzyme;direction;assay_context;evidence_tier;holdout_guard;license_note
