round,pair_key,module,gap_family,substrate_name,product_name,source_db,source_id,pmid,doi,year,journal,title,pubmed_xml_found,source_reaction_check_status,rhea_pair_status,abstract_contains_substrate_name,abstract_contains_product_name,abstract_contains_gut_or_microbe_context,abstract_contains_enzyme_or_gene_context,abstract_contains_negative_or_context_limit,abstract_character_count,abstract_evidence_class,exact_pair_supported_by_abstract,source_strength_summary,round8_decision,training_allowed_round8,why_training_still_blocked,next_action
8,QAIPRVGONGVQAS__DZAUWHJDUNRCTF,A,phenolic_ester_hydrolysis,caffeic acid,dihydrocaffeic acid,Local_Round2,PMID:40528807;DOI:10.1002/jsfa.70000,40528807,10.1002/jsfa.70000,2025,Journal of the science of food and agriculture,The hydrogenation metabolism process of rosmarinic acid by microbial enzymes in chickens.,True,deprecated_mapping_unresolved_in_current_reac_prop,,True,True,True,True,True,1465,pathway_product_support_not_exact_pair,False,"supports rosmarinic-acid pathway producing DHCA, not caffeic acid to DHCA directly",do_not_train_positive_current_evidence,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",extract full reaction sequence and decide whether CA->DHCA is a valid intermediate edge
8,ATJVZXXHKSYELS__KSEBMYQBYZTDHS,A,phenolic_ester_hydrolysis,ethyl ferulate,ferulic acid,PubMed,PMID:19502437,19502437,10.1128/AEM.02837-08,2009,Applied and environmental microbiology,Biochemical properties of two cinnamoyl esterases purified from a Lactobacillus johnsonii strain isolated from stool samples of diabetes-resistant rats.,True,microberx_rule_needs_source_recovery,,True,True,True,True,False,1420,substrate_product_family_support_table_needed,False,"ethyl ferulate substrate and ferulic-acid esterase activity are present, but exact product mapping needs table/full text",fulltext_table_required_before_positive,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",extract enzyme substrate table for ethyl ferulate hydrolysis product and EC/protein context
8,RIUPLDUFZCXCHM__WXUQMTRHPNOXBV,A,ellagitannin_urolithin_multistep,urolithin A,urolithin B,PubMed,PMID:29583112,29583112,10.1099/ijsem.0.002735,2018,International journal of systematic and evolutionary microbiology,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",True,microberx_rule_needs_source_recovery,,True,False,True,False,False,1853,organism_product_context_not_exact_pair,False,"abstract supports isourolithin A production from ellagic acid, not urolithin A to urolithin B",do_not_train_positive_current_evidence,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",search exact urolithin A to B source or mark as candidate only
8,HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,A,ellagitannin_urolithin_multistep,urolithin C,urolithin A,PubMed,PMID:39856097,39856097,10.1038/s41467-025-56266-2,2025,Nature communications,Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species.,True,microberx_rule_needs_source_recovery,,False,True,True,True,True,1427,abstract_exact_pair_strong,True,abstract identifies urolithin C precursor and Enterocloster ucd-dependent production of urolithin A,exact_positive_candidate_pending_mapping_holdout,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.","extract Ucd assay/ex vivo details, position-specific dehydroxylation, and organism context"
8,HHXMEXZVPJFAIJ__WDGSXHQNUPZEHA,A,ellagitannin_urolithin_multistep,urolithin C,isourolithin A,PubMed,PMID:29583112,29583112,10.1099/ijsem.0.002735,2018,International journal of systematic and evolutionary microbiology,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",True,microberx_rule_needs_source_recovery,,False,True,True,False,False,1853,organism_product_context_not_exact_pair,False,"abstract supports isourolithin A production from ellagic acid, not urolithin C to isourolithin A",do_not_train_positive_current_evidence,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",search exact intermediate route or keep as candidate only
8,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,lignan_deglucosylation,2'-fucosyllactose,L-fucose,PubMed,PMID:31138818,31138818,10.1038/s41598-019-43780-9,2019,Scientific reports,Novel Genes and Metabolite Trends in Bifidobacterium longum subsp. infantis Bi-26 Metabolism of Human Milk Oligosaccharide 2'-fucosyllactose.,True,microberx_rule_needs_source_recovery,,True,False,True,False,False,1396,abstract_exact_pair_strong,True,abstract reports fucose cleavage from 2'-fucosyllactose by B. infantis Bi-26 metabolism,exact_positive_candidate_pending_mapping_holdout,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",confirm L-fucose chemical mapping and whether product edge should include lactose/monomers
8,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,lignan_deglucosylation,2'-fucosyllactose,L-fucose,PubMed,PMID:19520709,19520709,10.1093/glycob/cwp082,2009,Glycobiology,Two distinct alpha-L-fucosidases from Bifidobacterium bifidum are essential for the utilization of fucosylated milk oligosaccharides and glycoconjugates.,True,microberx_rule_needs_source_recovery,,True,False,True,True,True,2056,enzyme_family_support_with_conditional_negative,False,"abstract characterizes fucosidases and includes context-specific non-activity for AfcB on alpha1,2-fucosyl substrates",context_evidence_not_global_positive,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",use for enzyme-context annotation; do not duplicate positive row without exact 2-FL assay
8,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,lignan_deglucosylation,pinoresinol,lariciresinol,PubMed,PMID:12736449,12736449,10.1248/cpb.51.508,2003,Chemical & pharmaceutical bulletin,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",True,source_reaction_candidate_verified_not_imported,rhea_equation_names_one_pair_compound,True,True,True,False,False,1516,abstract_exact_pair_strong,True,abstract explicitly reports Enterococcus faecalis PDG-1 transformation of pinoresinol to lariciresinol,exact_positive_candidate_pending_mapping_holdout,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",map stereochemistry and source row; keep Round2 holdout guard before training
8,MHXCIKYXNYCMHY__PUETUDUXMCLALY,A,lignan_multistep_demethylation_dehydroxylation,lariciresinol,secoisolariciresinol,PubMed,PMID:11453749,11453749,10.1021/jf010038a,2001,Journal of agricultural and food chemistry,In vitro metabolism of plant lignans: new precursors of mammalian lignans enterolactone and enterodiol.,True,source_reaction_candidate_verified_not_imported,rhea_equation_names_both_pair_compounds,True,True,True,False,False,1122,pathway_scheme_fulltext_needed,False,abstract says a metabolic scheme is presented but does not state lariciresinol to secoisolariciresinol directly,fulltext_scheme_required_before_positive,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",extract pathway scheme/table and reconcile with Rhea direction and stereochemistry
8,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,flavanone_ring_fission,isoxanthohumol,8-prenylnaringenin,PubMed,PMID:20397197,20397197,10.1002/mnfr.200900517,2010,Molecular nutrition & food research,Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.,True,microberx_rule_needs_source_recovery,,True,True,True,False,False,1097,abstract_exact_pair_moderate,True,abstract confirms microbial formation of 8-prenylnaringenin after incubation of xanthohumol and isoxanthohumol with fecal slurries,exact_positive_candidate_better_source_available,False,"Round8 uses abstract-level evidence screening. Training still requires exact source extraction, chemical identifier mapping, direction/stereochemistry check, license note, and split/holdout guard.",prefer PMID:16772450 for direct isoxanthohumol conversion evidence
