round,pair_key,module,substrate_name,product_name,source_id,pmid,doi,pubmed_found,pubdate,journal,title,title_signal,identity_check_status,exact_pair_proven,why_not_training_yet
7,QAIPRVGONGVQAS__DZAUWHJDUNRCTF,A,caffeic acid,dihydrocaffeic acid,PMID:40528807;DOI:10.1002/jsfa.70000,40528807,10.1002/jsfa.70000,True,2025 Oct,Journal of the science of food and agriculture,The hydrogenation metabolism process of rosmarinic acid by microbial enzymes in chickens.,title_supports_relevant_metabolism_context,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,ATJVZXXHKSYELS__KSEBMYQBYZTDHS,A,ethyl ferulate,ferulic acid,PMID:19502437,19502437,10.1128/AEM.02837-08,True,2009 Aug,Applied and environmental microbiology,Biochemical properties of two cinnamoyl esterases purified from a Lactobacillus johnsonii strain isolated from stool samples of diabetes-resistant rats.,title_identity_only,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,RIUPLDUFZCXCHM__WXUQMTRHPNOXBV,A,urolithin A,urolithin B,PMID:29583112,29583112,10.1099/ijsem.0.002735,True,2018 May,International journal of systematic and evolutionary microbiology,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",title_identity_only,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,A,urolithin C,urolithin A,PMID:39856097,39856097,10.1038/s41467-025-56266-2,True,2025 Jan 24,Nature communications,Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species.,title_names_product_only,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,HHXMEXZVPJFAIJ__WDGSXHQNUPZEHA,A,urolithin C,isourolithin A,PMID:29583112,29583112,10.1099/ijsem.0.002735,True,2018 May,International journal of systematic and evolutionary microbiology,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",title_identity_only,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,2'-fucosyllactose,L-fucose,PMID:31138818,31138818,10.1038/s41598-019-43780-9,True,2019 May 28,Scientific reports,Novel Genes and Metabolite Trends in Bifidobacterium longum subsp. infantis Bi-26 Metabolism of Human Milk Oligosaccharide 2'-fucosyllactose.,title_names_substrate_only,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,2'-fucosyllactose,L-fucose,PMID:19520709,19520709,10.1093/glycob/cwp082,True,2009 Sep,Glycobiology,Two distinct alpha-L-fucosidases from Bifidobacterium bifidum are essential for the utilization of fucosylated milk oligosaccharides and glycoconjugates.,title_identity_only,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,pinoresinol,lariciresinol,PMID:12736449,12736449,10.1248/cpb.51.508,True,2003 May,Chemical & pharmaceutical bulletin,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",title_names_both_compounds,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,MHXCIKYXNYCMHY__PUETUDUXMCLALY,A,lariciresinol,secoisolariciresinol,PMID:11453749,11453749,10.1021/jf010038a,True,2001 Jul,Journal of agricultural and food chemistry,In vitro metabolism of plant lignans: new precursors of mammalian lignans enterolactone and enterodiol.,title_supports_relevant_metabolism_context,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,isoxanthohumol,8-prenylnaringenin,PMID:20397197,20397197,10.1002/mnfr.200900517,True,2010 Oct,Molecular nutrition & food research,Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.,title_supports_relevant_metabolism_context,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
7,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,isoxanthohumol,8-prenylnaringenin,PMID:41571201,41571201,10.1016/j.bcp.2026.117728,True,2026 Apr,Biochemical pharmacology,"Gut microbiota-derived isoxanthohumol metabolite, 8-prenylnaringenin, mitigates endothelial dysfunction in Angiotensin II-induced hypertension through G protein-coupled estrogen receptor-mediated eNOS activation.",title_names_both_compounds,pubmed_identity_verified,False,"PubMed identity check is not enough. Extract exact substrate/product, organism or enzyme, direction, stereochemistry, and assay context from the paper/table before y=1."
