round,gap_family,query_or_source,source_db,source_id,source_title,source_year,evidence_type,exact_reaction_supported,positive_sample_use,negative_sample_use,verification_status,caveat,next_action
4,ellagitannin_urolithin_multistep,"urolithin dehydroxylase gut microbiota Gordonibacter Ellagibacter",PubMed,PMID:32716447,"Metabolism of different dietary phenolic compounds by the urolithin-producing human-gut bacteria Gordonibacter urolithinfaciens and Ellagibacter isourolithinifaciens.",2020,strain_metabolism,family_level_extract_exact_pairs,curate_exact_urolithin_pairs_after_table_or_text_extraction,not_negative_source,verified_pubmed_summary,"PubMed title supports family and organisms, but exact substrate-product rows still need paper/table extraction.",extract exact urolithin intermediates and map to SMILES/InChIKey before training
4,ellagitannin_urolithin_multistep,"urolithin",Rhea,RHEA_SEARCH_2026-06-04,"Rhea query returned 0 records for urolithin.",2026,database_search,no,no_positive_from_rhea,not_negative_source,verified_rhea_no_hit,"No Rhea hit is not evidence that the reaction is false; it only blocks automatic Rhea import.",use PubMed/manual curation for urolithin family
4,isoflavone_reductive_metabolism,"daidzein equol dihydrodaidzein tetrahydrodaidzein reductase gut bacteria",PubMed,PMID:23542626,"Identification and expression of genes involved in the conversion of daidzein and genistein by the equol-forming bacterium Slackia isoflavoniconvertens.",2013,gene_and_strain_evidence,yes_after_exact_pair_extraction,curate_daidzein_equol_pathway_pairs,not_negative_source,verified_pubmed_summary,"Need extract exact steps and stereochemistry; do not infer missing intermediates without evidence.",extract daidzein to dihydrodaidzein to tetrahydrodaidzein to equol rows
4,isoflavone_reductive_metabolism,"daidzein equol dihydrodaidzein tetrahydrodaidzein reductase gut bacteria",PubMed,PMID:41133761,"The Translational Coupling of Daidzein Reductase and Dihydrodaidzein Racemase Genes Improves the Production of Equol and Its Analogous Derivatives in Engineered Lactic Acid Bacteria.",2025,engineered_enzyme_context,mechanism_support_only,do_not_use_as_natural_gut_positive_without_context,not_negative_source,verified_pubmed_summary,"Engineered lactic acid bacteria are useful for enzyme mechanism but not automatically natural gut occurrence.",use as mechanistic support only unless exact gut-origin enzyme/context is retained
4,isoflavone_c_glycoside_conversion,"puerarin daidzein C glycoside gut microbiota",PubMed,PMID:25199800,"Deglycosylation of isoflavone C-glycosides by newly isolated human intestinal bacteria.",2015,human_intestinal_bacteria,yes_after_exact_pair_extraction,curate_C_glycoside_deglycosylation_pairs,not_negative_source,verified_pubmed_summary,"High-priority missing family; exact substrates/products and bacteria need extraction.",add puerarin/C-glycoside exact positive candidates after mapping compounds
4,isoflavone_c_glycoside_conversion,"puerarin daidzein C glycoside gut microbiota",PubMed,PMID:36815035,"Structural mechanism of a dual-functional enzyme DgpA/B/C as both a C-glycoside cleaving enzyme and an O- to C-glycoside isomerase.",2023,enzyme_mechanism,mechanism_support_only,rule_support_after_source_reaction_mapping,not_negative_source,verified_pubmed_summary,"Useful for rule mechanism; not automatically a gut occurrence label unless organism/context is valid.",use to design/validate C-glycoside rule SMARTS with source reaction provenance
4,lignan_deglucosylation,"pinoresinol lariciresinol secoisolariciresinol enterodiol enterolactone bacteria",PubMed,PMID:12736449,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",2003,human_intestinal_microflora_and_isolate,yes,curate_pinoresinol_to_lariciresinol_pathway,not_negative_source,verified_pubmed_summary,"Strong candidate for exact positive; verify stereochemistry and glycoside/aglycone state.",extract exact lignan sequence rows and map structures
4,lignan_multistep_demethylation_dehydroxylation,"pinoresinol lariciresinol secoisolariciresinol enterodiol enterolactone bacteria",PubMed,PMID:11453749,"In vitro metabolism of plant lignans: new precursors of mammalian lignans enterolactone and enterodiol.",2001,in_vitro_human_metabolism,yes_after_exact_pair_extraction,curate_enterodiol_enterolactone_precursor_pairs,not_negative_source,verified_pubmed_summary,"May include human microflora/in vitro context; exact reaction direction and intermediates must be extracted.",add literature rows with assay context and holdout guard
4,lignan_multistep_demethylation_dehydroxylation,"pinoresinol lariciresinol secoisolariciresinol enterodiol enterolactone bacteria",PubMed,PMID:24561584,"Bioconversion of pinoresinol into matairesinol by use of recombinant Escherichia coli.",2014,recombinant_enzyme_context,mechanism_support_only,do_not_use_as_gut_positive_without_context,not_negative_source,verified_pubmed_summary,"Recombinant E. coli supports enzyme chemistry, not natural gut metabolism by itself.",use as rule/mechanism support only
4,bile_steroid_transformation,"cholic acid deoxycholic acid gut bacteria 7 alpha dehydroxylation",PubMed,PMID:29549099,"Metabolism of Oxo-Bile Acids and Characterization of Recombinant 12alpha-Hydroxysteroid Dehydrogenases from Bile Acid 7alpha-Dehydroxylating Human Gut Bacteria.",2018,human_gut_bacteria_enzyme,yes_after_exact_pair_extraction,curate_bile_acid_dehydroxylation_and_oxidation_pairs,not_negative_source,verified_pubmed_summary,"High-priority D/A boundary family; exact product and EC mapping must be retained.",add bile acid/steroid family rows with organism and enzyme fields
