round,pair_key,gap_family,substrate_name,product_name,rule_recovery_decision,source_db,source_id,source_title,source_year,evidence_type,exact_reaction_supported,positive_sample_use,rule_import_use,negative_sample_use,verification_status,caveat,next_action
5,QAIPRVGONGVQAS__DZAUWHJDUNRCTF,phenolic_ester_hydrolysis,caffeic acid,dihydrocaffeic acid,priority_rule_import_candidate,Local_Round2,PMID:40528807;DOI:10.1002/jsfa.70000,"Local Round2 curated source for caffeic acid reduction to dihydrocaffeic acid.",2026,in_vivo_and_in_vitro,yes_if_source_rechecked,allowed_after_source_recheck,allowed_after_retrorules_source_reaction_check,not_negative_source,local_source_present_not_rechecked_this_round,"Round5 PubMed query focused on rule recovery and did not re-fetch this PMID; keep source as pending recheck.",re-fetch PubMed/DOI and extract exact assay context before training
5,ATJVZXXHKSYELS__KSEBMYQBYZTDHS,phenolic_ester_hydrolysis,ethyl ferulate,ferulic acid,rule_candidate_needs_source_recovery,PubMed,PMID:19502437,"Biochemical properties of two cinnamoyl esterases purified from a Lactobacillus johnsonii strain isolated from stool samples of diabetes-resistant rats.",2009,purified_enzyme_from_stool_isolate,yes,allowed_after_exact_substrate_table_check,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,verified_pubmed_summary,"Evidence supports cinnamoyl/feruloyl ester hydrolysis but MicrobeRX rule lacks EC/source reaction in master row.",extract exact substrate list and replace/annotate rule with esterase EC/source provenance
5,RIUPLDUFZCXCHM__WXUQMTRHPNOXBV,ellagitannin_urolithin_multistep,urolithin A,urolithin B,rule_candidate_needs_source_recovery,PubMed,PMID:29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",2018,strain_fermentation,yes_if_table_confirms_exact_pair,allowed_after_exact_pair_extraction,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,local_prior_source_from_round2,"Round5 broad query did not retrieve this exact PMID; Round2 manifest used it for urolithin A/B and isourolithin routes.",extract exact urolithin A to B route and strain context
5,HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,ellagitannin_urolithin_multistep,urolithin C,urolithin A,rule_candidate_needs_source_recovery,PubMed,PMID:39856097,"A multi-subunit molybdoenzyme removes the 9-hydroxyl group from urolithin C to generate urolithin A.",2025,direct_enzyme_assay,yes,allowed_after_exact_source_recheck,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,local_prior_source_from_round2,"Strong exact-pair claim is present in local Round2 source text; needs PubMed/DOI metadata recheck before final training.",use as high-priority exact positive and recover rule provenance
5,HHXMEXZVPJFAIJ__WDGSXHQNUPZEHA,ellagitannin_urolithin_multistep,urolithin C,isourolithin A,rule_candidate_needs_source_recovery,PubMed,PMID:29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",2018,strain_fermentation,yes_if_table_confirms_exact_pair,allowed_after_exact_pair_extraction,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,local_prior_source_from_round2,"Exact regioselective product should be checked in paper tables; do not infer from family alone.",extract isourolithin A route and stereochemical/regioselective notes
5,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,lignan_deglucosylation,2'-fucosyllactose,L-fucose,rule_candidate_needs_source_recovery,PubMed,PMID:31138818,"Novel Genes and Metabolite Trends in Bifidobacterium longum subsp. infantis Bi-26 Metabolism of Human Milk Oligosaccharide 2'-fucosyllactose.",2019,HMO_metabolism_and_gene_trends,yes_if_metabolite_release_confirmed,allowed_after_exact_metabolite_check,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,verified_pubmed_summary,"This is a glycan/HMO row mislabeled by gap family from challenge context; it belongs to carbohydrate glycan B module.",move to glycan/HMO family and extract fucose-release evidence
5,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,lignan_deglucosylation,2'-fucosyllactose,L-fucose,rule_candidate_needs_source_recovery,PubMed,PMID:19520709,"Two distinct alpha-L-fucosidases from Bifidobacterium bifidum are essential for the utilization of fucosylated milk oligosaccharides and glycoconjugates.",2009,enzyme_and_utilization,yes_for_fucosylated_oligosaccharide_family,allowed_after_exact_2FL_mapping,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,verified_pubmed_summary,"Supports alpha-L-fucosidase mechanism; exact 2'-fucosyllactose product release must be mapped.",use as enzyme/rule support with exact substrate check
5,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,lignan_deglucosylation,pinoresinol,lariciresinol,priority_rule_import_candidate,PubMed,PMID:12736449,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",2003,human_intestinal_microflora_and_isolate,yes,allowed_after_stereochemistry_check,allowed_after_retrorules_source_reaction_check,not_negative_source,verified_pubmed_summary,"Strong exact-pair candidate; check aglycone/glycoside state and stereochemistry before final row.",import RetroRules candidate after source-reaction check
5,MHXCIKYXNYCMHY__PUETUDUXMCLALY,lignan_multistep_demethylation_dehydroxylation,lariciresinol,secoisolariciresinol,priority_rule_import_candidate,PubMed,PMID:11453749,"In vitro metabolism of plant lignans: new precursors of mammalian lignans enterolactone and enterodiol.",2001,in_vitro_human_metabolism,yes_if_exact_step_extracted,allowed_after_exact_step_extraction,allowed_after_retrorules_source_reaction_check,not_negative_source,verified_pubmed_summary,"Round5 evidence supports lignan metabolism family; exact lariciresinol -> secoisolariciresinol step must be extracted.",extract exact step and human microflora/assay context
5,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,flavanone_ring_fission,isoxanthohumol,8-prenylnaringenin,rule_candidate_needs_source_recovery,PubMed,PMID:20397197,"Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.",2010,human_microbiota_associated_animal_model,yes_if_exact_conversion_reported,allowed_after_exact_conversion_check,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,verified_pubmed_summary,"HMA rat context is useful but not an isolate; verify direct isoxanthohumol to 8-prenylnaringenin conversion.",extract exact xanthohumol/isoxanthohumol/8-prenylnaringenin route
5,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,flavanone_ring_fission,isoxanthohumol,8-prenylnaringenin,rule_candidate_needs_source_recovery,PubMed,PMID:41571201,"Gut microbiota-derived isoxanthohumol metabolite, 8-prenylnaringenin, mitigates endothelial dysfunction in Angiotensin II-induced hypertension through G protein-coupled estrogen receptor-mediated eNOS activation.",2026,gut_microbiota_derived_metabolite_context,supportive_not_sufficient,not_core_training_until_exact_conversion,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,verified_pubmed_summary,"Supports metabolite relationship but is downstream health-model context, not necessarily exact training evidence.",use only as supporting context
5,REFJWTPEDVJJIY__CXQWRCVTCMQVQX,flavonol_ring_fission,quercetin,taxifolin,priority_rule_import_candidate,PubMed,PMID:36432010,"Structural Basis for (2R,3R)-Taxifolin Binding and Reaction Products to the Bacterial Chalcone Isomerase of Eubacterium ramulus.",2022,enzyme_structure_and_reaction_products,mechanism_support_only,do_not_add_until_exact_quercetin_to_taxifolin_evidence,allowed_as_rule_mechanism_support_only,not_negative_source,verified_pubmed_summary,"This supports taxifolin/Eubacterium ramulus enzyme context but not necessarily quercetin -> taxifolin exact conversion.",search exact quercetin reduction or keep as rule-only challenge control
5,IBHWREHFNDMRPR__QCDYQQDYXPDABM,flavonol_ring_fission,phloroglucinol carboxylic acid,phloroglucinol,rule_candidate_needs_source_recovery,PubMed,PUBMED_SEARCH_2026-06-04,"Exact query returned 0 records for phloroglucinol carboxylic acid -> phloroglucinol.",2026,literature_search,no,no_positive_from_this_query,microberx_rule_needs_source_recovery_or_replacement,not_negative_source,verified_pubmed_no_hit,"Zero query result is not evidence of absence; local Round2/Round3 used flavonol degradation context.",retry with Eubacterium ramulus flavonol degradation and exact metabolite synonyms
