module,sb,pb,substrate_name,product_name,substrate_smiles,gap_families,round4_row_ids,route_loss_stages,rule_id,rule_smarts,rule_source,rule_legacy_id,rule_ec_number,rule_ec_class,rule_diameter,rule_score,rule_applicable_structure_type,master_rule_substrate_name,master_rule_product_name,generated_target_product,lhs_checked_count,lhs_matched_count_at_hit,rule_fired_count_at_hit,candidate_training_role,positive_label_status,round5_recommended_action
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,CCOC(=O)C=Cc1ccc(O)c(OC)c1,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,selected_substrate_missing_from_clean_output,microberx_3HBBUTH_LR,[#6&!R:2]-[#8&!R:3]-[#6&!R:12](-[#6&!R:11])=[#8&!R:13]>>[#6&!R:2]-[#8&!R:3].[#6&!R:11]-[#6&!R:12](=[#8&!R:13])-[#8&-&!R:14].[#1&+&!R:15],microberx,3HBBUTH_LR,,,,1.0,mapped_substrate_smiles,3hbbut,bhb,True,173299,3090,3090,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,CCOC(=O)C=Cc1ccc(O)c(OC)c1,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,selected_substrate_missing_from_clean_output,microberx_AAEAAH_LR,[#6&!R:4]-[#8&!R:6]-[#6&*&!R:7]>>[#6&!R:4]-[#8&-&!R:6].[#6&*&!R:7]-[#8&!R:8].[#1&+&!R:9],microberx,AAEAAH_LR,,,,1.0,mapped_substrate_smiles,aamnae,aamna,True,175188,3154,3154,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,CCOC(=O)C=Cc1ccc(O)c(OC)c1,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,selected_substrate_missing_from_clean_output,microberx_AAEAAH_LR,[#6&!R:2]-[#6&!R:4](=[#8&!R:5])-[#8&!R:6]-[#6&*&!R:7]>>[#6&!R:2]-[#6&!R:4](=[#8&!R:5])-[#8&-&!R:6].[#6&*&!R:7]-[#8&!R:8].[#1&+&!R:9],microberx,AAEAAH_LR,,,,1.0,mapped_substrate_smiles,aamnae,aamna,True,175189,3155,3155,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,CCOC(=O)C=Cc1ccc(O)c(OC)c1,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,selected_substrate_missing_from_clean_output,microberx_ACAH_LR,[#6&!R:6]-[#8&!R:7]-[#6&!R:13](-[#6&*&!R:12])=[#8&!R:14]>>[#6&!R:6]-[#8&!R:7].[#6&*&!R:12]-[#6&!R:13](=[#8&!R:14])-[#8&-&!R:15].[#1&+&!R:16],microberx,ACAH_LR,,,,1.0,mapped_substrate_smiles,oacrntn,crn,True,175893,3177,3177,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,CCOC(=O)C=Cc1ccc(O)c(OC)c1,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,selected_substrate_missing_from_clean_output,microberx_ACHEe_LR,[#6&!R:2]-[#8&!R:4]-[#6&!R:10]-[#6&!R:9]>>[#6&!R:9]-[#6&!R:10]-[#8&!R:11].[#6&!R:2]-[#8&-&!R:4].[#1&+&!R:12],microberx,ACHEe_LR,,,,1.0,mapped_substrate_smiles,ach,chol,True,176241,3191,3191,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,selected_substrate_missing_from_clean_output,retrorules_RR-02-0b00df2834267ac5-06-F,([#6&v4:1](-[#6&v4:2]1(-[#1&v1:3])-[#6&v4:4](-[#6&v4:5](-[#8&v2:6])(-[#1&v1:7])-[#1&v1:8])(-[#1&v1:9])-[#6&v4:10](-[#6&v4:11])(-[#1&v1:12])-[#6&v4:13](-[#1&v1:14])(-[#1&v1:15])-[#8&v2:16]-1)(:[#6&v4:17](-[#1&v1:18]):[#6&v4:19]):[#6&v4:20](-[#1&v1:21]):[#6&v4:22])>>([#6&v4:1](-[#6&v4:2](-[#6&v4:4](-[#6&v4:10](-[#6&v4:11])(-[#6&v4:13](-[#8&v2:16]-[#1&v1])(-[#1&v1:14])-[#1&v1:15])-[#1&v1:12])(-[#6&v4:5](-[#8&v2:6])(-[#1&v1:7])-[#1&v1:8])-[#1&v1:9])(-[#1&v1:3])-[#1&v1])(:[#6&v4:17](-[#1&v1:18]):[#6&v4:19]):[#6&v4:20](-[#1&v1:21]):[#6&v4:22]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,6.0,0.3010299956639812,reaction_center_rule,,,True,7396,85,84,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,selected_substrate_missing_from_clean_output,retrorules_RR-02-125382cd7adadba8-08-F,([#8&v2:1]1-[#6&v4:2](-[#1&v1:3])(-[#1&v1:4])-[#6&v4:5]2(-[#1&v1:6])-[#6&v4:7](-[#6&v4:8]3:[#6&v4:9](-[#1&v1:10]):[#6&v4:11](-[#1&v1:12]):[#6&v4:13]:[#6&v4:14](-[#8&v2:15]):[#6&v4:16]:3-[#1&v1:17])(-[#1&v1:18])-[#8&v2:19]-[#6&v4:20](-[#1&v1:21])(-[#1&v1:22])-[#6&v4:23]-2(-[#1&v1:24])-[#6&v4:25]-1(-[#6&v4:26])-[#1&v1:27])>>([#8&v2:1]1-[#6&v4:2](-[#1&v1:3])(-[#1&v1:4])-[#6&v4:5](-[#6&v4:7](-[#6&v4:8]2:[#6&v4:9](-[#1&v1:10]):[#6&v4:11](-[#1&v1:12]):[#6&v4:13]:[#6&v4:14](-[#8&v2:15]):[#6&v4:16]:2-[#1&v1:17])(-[#1&v1])-[#1&v1:18])(-[#1&v1:6])-[#6&v4:23](-[#6&v4:20](-[#8&v2:19]-[#1&v1])(-[#1&v1:21])-[#1&v1:22])(-[#1&v1:24])-[#6&v4:25]-1(-[#6&v4:26])-[#1&v1:27]),retrorules,MNXR113585_MNXM5999,1.23.1.1,oxidoreductase,8.0,0.7781512503836436,reaction_center_rule,,,True,12264,142,141,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,selected_substrate_missing_from_clean_output,retrorules_RR-02-406e9ae3acd5a5b1-14-F,([#8&v2:1]1-[#6&v4:2](-[#1&v1:3])(-[#1&v1:4])-[#6&v4:5]2(-[#1&v1:6])-[#6&v4:7](-[#6&v4:8]3:[#6&v4:9](-[#1&v1:10]):[#6&v4:11](-[#1&v1:12]):[#6&v4:13](-[#8&v2:14]-[#1&v1:15]):[#6&v4:16](-[#8&v2:17]-[#6&v4:18](-[#1&v1:19])(-[#1&v1:20])-[#1&v1:21]):[#6&v4:22]:3-[#1&v1:23])(-[#1&v1:24])-[#8&v2:25]-[#6&v4:26](-[#1&v1:27])(-[#1&v1:28])-[#6&v4:29]-2(-[#1&v1:30])-[#6&v4:31]-1(-[#6&v4:32]1:[#6&v4:33](-[#1&v1:34]):[#6&v4:35](-[#1&v1:36]):[#6&v4:37]:[#6&v4:38](-[#8&v2:39]):[#6&v4:40]:1-[#1&v1:41])-[#1&v1:42])>>([#8&v2:1]1-[#6&v4:2](-[#1&v1:3])(-[#1&v1:4])-[#6&v4:5](-[#6&v4:7](-[#6&v4:8]2:[#6&v4:9](-[#1&v1:10]):[#6&v4:11](-[#1&v1:12]):[#6&v4:13](-[#8&v2:14]-[#1&v1:15]):[#6&v4:16](-[#8&v2:17]-[#6&v4:18](-[#1&v1:19])(-[#1&v1:20])-[#1&v1:21]):[#6&v4:22]:2-[#1&v1:23])(-[#1&v1])-[#1&v1:24])(-[#1&v1:6])-[#6&v4:29](-[#6&v4:26](-[#8&v2:25]-[#1&v1])(-[#1&v1:27])-[#1&v1:28])(-[#1&v1:30])-[#6&v4:31]-1(-[#6&v4:32]1:[#6&v4:33](-[#1&v1:34]):[#6&v4:35](-[#1&v1:36]):[#6&v4:37]:[#6&v4:38](-[#8&v2:39]):[#6&v4:40]:1-[#1&v1:41])-[#1&v1:42]),retrorules,MNXR113585_MNXM5999,1.23.1.1,oxidoreductase,14.0,0.7781512503836436,reaction_center_rule,,,True,43326,535,534,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,selected_substrate_missing_from_clean_output,retrorules_RR-02-52fecacfebc0f6ff-02-F,([#8&v2:1](-[#6&v4:2])-[#6&v4:3](-[#1&v1:4])(-[#6&v4:5])-[#6&v4:6])>>([#6&v4:5]-[#6&v4:3](-[#1&v1:4])(-[#1&v1])-[#6&v4:6].[#8&v2:1](-[#6&v4:2])-[#1&v1]),retrorules,MNXR112992_MNXM4141,1.14.13.120,oxidoreductase,2.0,0.0,reaction_center_rule,,,True,55816,699,698,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,selected_substrate_missing_from_clean_output,retrorules_RR-02-68cf65e608353cc6-02-F,([#6&v4:1]-[#6&v4:2](-[#1&v1:3])(-[#6&v4:4])-[#8&v2:5]-[#6&v4:6])>>([#6&v4:1]-[#6&v4:2](-[#6&v4:4])(-[#1&v1:3])-[#1&v1].[#6&v4:6]-[#8&v2:5]-[#1&v1]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,2.0,0.3010299956639812,reaction_center_rule,,,True,70502,889,888,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
