round,query_slug,query,pubmed_available_count,rank,pmid,title,journal,pubdate,doi,pubmed_url,screen_status_round10,training_decision_round10,required_next_check
10,caffeic_dihydrocaffeic,gut microbiota caffeic acid dihydrocaffeic acid,6,1,40528807,The hydrogenation metabolism process of rosmarinic acid by microbial enzymes in chickens.,J Sci Food Agric,2025 Oct,10.1002/jsfa.70000,https://pubmed.ncbi.nlm.nih.gov/40528807/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,caffeic_dihydrocaffeic,gut microbiota caffeic acid dihydrocaffeic acid,6,2,38959406,Mechanistic Insight into Intestinal α-Synuclein Aggregation in Parkinson's Disease Using a Laser-Printed Electrochemical Sensor.,ACS Chem Neurosci,2024 Jul 17,10.1021/acschemneuro.4c00106,https://pubmed.ncbi.nlm.nih.gov/38959406/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,caffeic_dihydrocaffeic,gut microbiota caffeic acid dihydrocaffeic acid,6,3,33537693,"Bioaccessibility of Tudela artichoke (Cynara scolymus cv. Blanca de Tudela) (poly)phenols: the effects of heat treatment, simulated gastrointestinal digestion and human colonic microbiota.",Food Funct,2021 Mar 7,10.1039/d0fo03119d,https://pubmed.ncbi.nlm.nih.gov/33537693/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,caffeic_dihydrocaffeic,gut microbiota caffeic acid dihydrocaffeic acid,6,4,32716447,Metabolism of different dietary phenolic compounds by the urolithin-producing human-gut bacteria Gordonibacter urolithinfaciens and Ellagibacter isourolithinifaciens.,Food Funct,2020 Aug 1,10.1039/d0fo01649g,https://pubmed.ncbi.nlm.nih.gov/32716447/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,caffeic_dihydrocaffeic,gut microbiota caffeic acid dihydrocaffeic acid,6,5,27977191,Hydrolysis of Dicaffeoylquinic Acids from Ilex kudingcha Happens in the Colon by Intestinal Microbiota.,J Agric Food Chem,2016 Dec 28,10.1021/acs.jafc.6b04710,https://pubmed.ncbi.nlm.nih.gov/27977191/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,daidzein_equol,gut microbiota daidzein equol,71,1,41925800,S-equol promotes ferroptosis in triple negative breast cancer by coordinating NCOA4-mediated ferritinophagy and PPARγ-mediated lipid metabolism.,Mol Cell Biochem,2026 May,10.1007/s11010-026-05524-y,https://pubmed.ncbi.nlm.nih.gov/41925800/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,daidzein_equol,gut microbiota daidzein equol,71,2,41770313,S-equol producing bacteria: isolation and identification from Albino Wistar rat gut microbiota.,Appl Microbiol Biotechnol,2026 Mar 2,10.1007/s00253-026-13759-4,https://pubmed.ncbi.nlm.nih.gov/41770313/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,daidzein_equol,gut microbiota daidzein equol,71,3,41590663,"Urinary Equol Production Capacity, Dietary Habits, and Premenstrual Symptom Severity in Healthy Young Japanese Women.",Metabolites,2026 Jan 8,10.3390/metabo16010055,https://pubmed.ncbi.nlm.nih.gov/41590663/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,daidzein_equol,gut microbiota daidzein equol,71,4,41588328,Stability of equol production capability is associated with the diversity of the gut microbiota of the host: a prospective cohort study.,BMC Microbiol,2026 Jan 26,10.1186/s12866-026-04749-7,https://pubmed.ncbi.nlm.nih.gov/41588328/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,daidzein_equol,gut microbiota daidzein equol,71,5,41511855,Microbial Production and Industrial Applications of (S)-Equol for Precision Health and Functional Food Innovation.,J Agric Food Chem,2026 Jan 21,10.1021/acs.jafc.5c15832,https://pubmed.ncbi.nlm.nih.gov/41511855/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,catechin_valerolactone,gut microbiota catechin valerolactone,28,1,40597460,"Metabolic characteristics of catechin (monomeric flavan-3-ols), B-type linkage flavan-3-ols and A-type linkage flavan-3-ols revealed by un-targeted and targeted metabolomics.",Food Res Int,2025 Oct,10.1016/j.foodres.2025.116357,https://pubmed.ncbi.nlm.nih.gov/40597460/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,catechin_valerolactone,gut microbiota catechin valerolactone,28,2,40543124,How does the flavan-3-ol structure condition the quali-quantitative production of phenolic metabolites? Insights from a 3-arm intervention.,Food Chem,2025 Nov 1,10.1016/j.foodchem.2025.145207,https://pubmed.ncbi.nlm.nih.gov/40543124/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,catechin_valerolactone,gut microbiota catechin valerolactone,28,3,39826514,"A study on the qualitative analysis of lotus seedpod oligomeric procyanidins during digestion, absorption and colonic fermentation based on UPLC-Q-Exactive/MS.",Food Chem,2025 Apr 30,10.1016/j.foodchem.2025.142864,https://pubmed.ncbi.nlm.nih.gov/39826514/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,catechin_valerolactone,gut microbiota catechin valerolactone,28,4,39674423,Static and dynamic in vitro colonic models reveal the spatiotemporal production of flavan-3-ol catabolites.,Free Radic Biol Med,2025 Feb 1,10.1016/j.freeradbiomed.2024.12.034,https://pubmed.ncbi.nlm.nih.gov/39674423/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,catechin_valerolactone,gut microbiota catechin valerolactone,28,5,38975869,Gut microbiota-mediated metabolism of green tea catechins and the biological consequences: An updated review.,Crit Rev Food Sci Nutr,2024,10.1080/10408398.2023.2180478,https://pubmed.ncbi.nlm.nih.gov/38975869/,review_or_context_only,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,quercetin_ring_fission,gut microbiota quercetin dihydroxyphenylacetic acid,10,1,37569640,"Quercetins, Chlorogenic Acids and Their Colon Metabolites Inhibit Colon Cancer Cell Proliferation at Physiologically Relevant Concentrations.",Int J Mol Sci,2023 Jul 31,10.3390/ijms241512265,https://pubmed.ncbi.nlm.nih.gov/37569640/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,quercetin_ring_fission,gut microbiota quercetin dihydroxyphenylacetic acid,10,2,36965386,"Alginate-inulin-chitosan based microspheres alter metabolic fate of encapsulated quercetin, promote short chain fatty acid production, and modulate pig gut microbiota.",Food Chem,2023 Aug 30,10.1016/j.foodchem.2023.135802,https://pubmed.ncbi.nlm.nih.gov/36965386/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,quercetin_ring_fission,gut microbiota quercetin dihydroxyphenylacetic acid,10,3,34689346,"Flavone, flavanone and flavonol metabolism from soybean and flaxseed extracts by the intestinal microbiota of adults and infants.",J Sci Food Agric,2022 Apr,10.1002/jsfa.11599,https://pubmed.ncbi.nlm.nih.gov/34689346/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,quercetin_ring_fission,gut microbiota quercetin dihydroxyphenylacetic acid,10,4,34208885,Screening of Human Gut Bacterial Culture Collection Identifies Species That Biotransform Quercetin into Metabolites with Anticancer Properties.,Int J Mol Sci,2021 Jun 30,10.3390/ijms22137045,https://pubmed.ncbi.nlm.nih.gov/34208885/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,quercetin_ring_fission,gut microbiota quercetin dihydroxyphenylacetic acid,10,5,34202738,Effects of Wine and Its Microbial-Derived Metabolites on Intestinal Permeability Using Simulated Gastrointestinal Digestion/Colonic Fermentation and Caco-2 Intestinal Cell Models.,Microorganisms,2021 Jun 24,10.3390/microorganisms9071378,https://pubmed.ncbi.nlm.nih.gov/34202738/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,urolithin_c_a,urolithin C urolithin A Enterocloster,1,1,41797252,Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins.,Enzyme Microb Technol,2026 Jun,10.1016/j.enzmictec.2026.110837,https://pubmed.ncbi.nlm.nih.gov/41797252/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,fucosyllactose_fucose,2'-fucosyllactose fucose Bifidobacterium infantis,9,1,40135481,Impact of 2'-fucosyllactose on adult gut microbiota composition and metabolome based on colonic fermentation and prebiotic quantitative evaluation.,J Food Sci,2025 Mar,10.1111/1750-3841.70084,https://pubmed.ncbi.nlm.nih.gov/40135481/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,fucosyllactose_fucose,2'-fucosyllactose fucose Bifidobacterium infantis,9,2,38389793,Influence of microbially fermented 2´-fucosyllactose on neuronal-like cell activity in an in vitro co-culture system.,Front Nutr,2024,10.3389/fnut.2024.1351433,https://pubmed.ncbi.nlm.nih.gov/38389793/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,fucosyllactose_fucose,2'-fucosyllactose fucose Bifidobacterium infantis,9,3,36938958,Fucosylated Human Milk Oligosaccharides Drive Structure-Specific Syntrophy between Bifidobacterium infantis and Eubacterium hallii within a Modeled Infant Gut Microbiome.,Mol Nutr Food Res,2023 Jun,10.1002/mnfr.202200851,https://pubmed.ncbi.nlm.nih.gov/36938958/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,fucosyllactose_fucose,2'-fucosyllactose fucose Bifidobacterium infantis,9,4,33382612,"Selective Utilization of the Human Milk Oligosaccharides 2'-Fucosyllactose, 3-Fucosyllactose, and Difucosyllactose by Various Probiotic and Pathogenic Bacteria.",J Agric Food Chem,2021 Jan 13,10.1021/acs.jafc.0c06041,https://pubmed.ncbi.nlm.nih.gov/33382612/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,fucosyllactose_fucose,2'-fucosyllactose fucose Bifidobacterium infantis,9,5,33330584,"Bifidobacterium infantis Metabolizes 2'Fucosyllactose-Derived and Free Fucose Through a Common Catabolic Pathway Resulting in 1,2-Propanediol Secretion.",Front Nutr,2020,10.3389/fnut.2020.583397,https://pubmed.ncbi.nlm.nih.gov/33330584/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,pinoresinol_lariciresinol,pinoresinol lariciresinol human intestinal microflora,3,1,17449591,Relation between plasma enterodiol and enterolactone and dietary intake of lignans in a Dutch endoscopy-based population.,J Nutr,2007 May,10.1093/jn/137.5.1266,https://pubmed.ncbi.nlm.nih.gov/17449591/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,pinoresinol_lariciresinol,pinoresinol lariciresinol human intestinal microflora,3,2,15877880,"Lignan contents of Dutch plant foods: a database including lariciresinol, pinoresinol, secoisolariciresinol and matairesinol.",Br J Nutr,2005 Mar,10.1079/bjn20051371,https://pubmed.ncbi.nlm.nih.gov/15877880/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,pinoresinol_lariciresinol,pinoresinol lariciresinol human intestinal microflora,3,3,12736449,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",Chem Pharm Bull (Tokyo),2003 May,10.1248/cpb.51.508,https://pubmed.ncbi.nlm.nih.gov/12736449/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,isoxanthohumol_8pn,isoxanthohumol 8-prenylnaringenin human intestine,11,1,31344423,"Gut microbiota in phytopharmacology: A comprehensive overview of concepts, reciprocal interactions, biotransformations and mode of actions.",Pharmacol Res,2019 Sep,10.1016/j.phrs.2019.104367,https://pubmed.ncbi.nlm.nih.gov/31344423/,review_or_context_only,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,isoxanthohumol_8pn,isoxanthohumol 8-prenylnaringenin human intestine,11,2,28234482,Effect of Hops Derived Prenylated Phenols on TNF-α Induced Barrier Dysfunction in Intestinal Epithelial Cells.,J Nat Prod,2017 Apr 28,10.1021/acs.jnatprod.6b00869,https://pubmed.ncbi.nlm.nih.gov/28234482/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,isoxanthohumol_8pn,isoxanthohumol 8-prenylnaringenin human intestine,11,3,25771121,Isoxanthohumol--Biologically active hop flavonoid.,Fitoterapia,2015 Jun,10.1016/j.fitote.2015.03.007,https://pubmed.ncbi.nlm.nih.gov/25771121/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,isoxanthohumol_8pn,isoxanthohumol 8-prenylnaringenin human intestine,11,4,25045111,Pharmacokinetics of prenylated hop phenols in women following oral administration of a standardized extract of hops.,Mol Nutr Food Res,2014 Oct,10.1002/mnfr.201400245,https://pubmed.ncbi.nlm.nih.gov/25045111/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,isoxanthohumol_8pn,isoxanthohumol 8-prenylnaringenin human intestine,11,5,20397197,Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.,Mol Nutr Food Res,2010 Oct,10.1002/mnfr.200900517,https://pubmed.ncbi.nlm.nih.gov/20397197/,candidate_literature_screen,not_training_label_until_exact_pair_extracted,"read abstract/full text or table for exact substrate, product, direction, organism/enzyme, assay context, and structure IDs"
10,assay_negative_no_conversion,gut microbiota no conversion substrate metabolite assay negative,0,,,,,,,,no_pubmed_hits_for_query,no_label,revise query or search source databases; do not convert absence into negative
