module,macro_module,reaction_category,reaction_type,family_key,raw_pair_count,reactions_pair_count,clean_full_positive_count,clean_positive_count,fullrule_seen_count,fullrule_hit_count,high_evidence_pair_count,manual_literature_pair_count,raw_to_reactions_retention,reactions_to_clean_full_retention,reactions_to_clean_retention,fullrule_generation_recall_seen,missing_from_clean_full,round4_recommended_action
D,lipid_fat,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,lipid_fat :: Fatty acid oxidation :: Carnitine O-Palmitoyltransferase,132,132,54,55,0,0,0,0,1.0,0.4090909090909091,0.4166666666666667,,78,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,lipid_fat :: Fatty acid synthesis :: Long-Chain-Fatty-Acid Coenzyme A Ligase,96,94,32,32,2,0,0,0,0.9791666666666666,0.3404255319148936,0.3404255319148936,0.0,62,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,,biomass526,small_molecule_polyphenol ::  :: biomass526,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass527,small_molecule_polyphenol ::  :: biomass527,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass528,small_molecule_polyphenol ::  :: biomass528,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass529,small_molecule_polyphenol ::  :: biomass529,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass530,small_molecule_polyphenol ::  :: biomass530,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass531,small_molecule_polyphenol ::  :: biomass531,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass532,small_molecule_polyphenol ::  :: biomass532,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass533,small_molecule_polyphenol ::  :: biomass533,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass534,small_molecule_polyphenol ::  :: biomass534,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,,biomass535,small_molecule_polyphenol ::  :: biomass535,44,44,0,0,3,0,0,0,1.0,0.0,0.0,0.0,44,add_or_import_family_rules_before_retraining
D,lipid_fat,Fatty acid oxidation,Carnitine Transferase,lipid_fat :: Fatty acid oxidation :: Carnitine Transferase,54,54,23,20,0,0,0,0,1.0,0.42592592592592593,0.37037037037037035,,31,trace_rule_generation_sampling_and_drop_filters
