row_id,gap_family,candidate_status,substrate_name,substrate_smiles,substrate_inchikey,product_name,product_smiles,product_inchikey,reaction_category,reaction_type,macro_module,source_dataset,source_id,evidence_type,evidence_level,confidence_level,enzyme_name,microbe_or_strain,in_reactions_parquet,in_clean_candidates_full_positive,exact_holdout_pair,pubmed_spot_checked,pubchem_spot_checked_block1,validation_status,training_allowed_round2,recommended_next_action
round2_phenolic_ester_hydrolysis_0001,phenolic_ester_hydrolysis,do_not_train_exact_holdout,chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,CWVRJTMFETXNAD-JUHZACGLSA-N,caffeic acid,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,QAIPRVGONGVQAS-DUXPYHPUSA-N,hydroxycinnamate_ester,ester hydrolysis,small_molecule_polyphenol,benchmark_ssrf_rclss_2026-05-22,PMID:11412317;DOI:10.1046/j.1365-2672.2001.01316.x,pure strain isolates + plate enzyme assay,4,high,feruloyl/chlorogenate esterase (EC 3.1.1.-),Escherichia coli; Bifidobacterium lactis; Lactobacillus gasseri,True,False,True,False,True,spot_checked,False,replace with independent non-holdout examples
round2_phenolic_ester_hydrolysis_0002,phenolic_ester_hydrolysis,pipeline_recovery_candidate,hydrocaffeic acid,C1=CC(=C(C=C1CCC(=O)O)O)O,DZAUWHJDUNRCTF-UHFFFAOYSA-N,3-(3-hydroxyphenyl)propionic acid,C1=CC(=CC(=C1)O)CCC(=O)O,QVWAEZJXDYOKEH-UHFFFAOYSA-N,functional_group_removal,hydrocaffeic acid -> 3-(3-hydroxyphenyl)propionic acid by gut catechol dehydroxylase,small_molecule_polyphenol,foodgut_curated_reaction_evidence,PMID:32067637;DOI:10.1016/j.cell.2020.01.005,primary_literature,4,high,catechol dehydroxylase,Eggerthella lenta,True,False,False,False,False,local_source_present_needs_external_check,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_phenolic_ester_hydrolysis_0003,phenolic_ester_hydrolysis,pipeline_recovery_candidate,caffeic acid,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,QAIPRVGONGVQAS-DUXPYHPUSA-N,"3,4-dihydroxystyrene",C=CC1=CC(=C(C=C1)O)O,FBTSUTGMWBDAAC-UHFFFAOYSA-N,decarboxylation,caffeic acid -> 4-vinyl catechol by Lactobacillus plantarum phenolic acid decarboxylase,small_molecule_polyphenol,foodgut_curated_reaction_evidence,PMID:18499214;DOI:10.1016/j.foodchem.2007.09.067,primary_literature,4,high,phenolic acid decarboxylase,Lactobacillus plantarum; CECT 748T,True,False,False,False,False,local_source_present_needs_external_check,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_phenolic_ester_hydrolysis_0004,phenolic_ester_hydrolysis,pipeline_recovery_candidate,caffeic acid,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,QAIPRVGONGVQAS-DUXPYHPUSA-N,m-coumaric acid,C1=CC(=CC(=C1)O)/C=C/C(=O)O,KKSDGJDHHZEWEP-SNAWJCMRSA-N,functional_group_removal,caffeic acid -> m-coumaric acid by urolithin-producing human gut bacteria,small_molecule_polyphenol,foodgut_curated_reaction_evidence,DOI:10.1039/D0FO01649G,primary_literature,4,high,dehydroxylase,Gordonibacter urolithinfaciens / Ellagibacter isourolithinifaciens,True,False,False,False,False,local_source_present_needs_external_check,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_phenolic_ester_hydrolysis_0005,phenolic_ester_hydrolysis,pipeline_recovery_candidate,caffeic acid,OC(=O)/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,dihydrocaffeic acid,O=C(O)CCc1ccc(O)c(O)c1,DZAUWHJDUNRCTF-UHFFFAOYSA-N,hydroxycinnamic_acid,reduction (alkene),small_molecule_polyphenol,benchmark_ssrf_rclss_2026-05-22,PMID:40528807;DOI:10.1002/jsfa.70000,in vivo + in vitro,3,Medium,phenolic acid reductase,gut microbiota (Clostridium/Alistipes spp.),True,False,False,False,False,local_source_present_needs_external_check,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_phenolic_ester_hydrolysis_0006,phenolic_ester_hydrolysis,pipeline_recovery_candidate,ethyl ferulate,CCOC(=O)C=CC1=CC(=C(C=C1)O)OC,ATJVZXXHKSYELS-FNORWQNLSA-N,ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,KSEBMYQBYZTDHS-HWKANZROSA-N,hydroxycinnamate_ester,ester hydrolysis (feruloyl esterase),small_molecule_polyphenol,benchmark_ssrf_rclss_2026-05-22,PMID:19502437;DOI:10.1128/AEM.02837-08,enzyme assay (purified),3,high,ferulic acid esterase (FAE),Lactobacillus johnsonii,True,False,False,False,False,local_source_present_needs_external_check,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_ellagitannin_urolithin_multistep_0007,ellagitannin_urolithin_multistep,do_not_train_exact_holdout,ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,AFSDNFLWKVMVRB-UHFFFAOYSA-N,urolithin A,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,RIUPLDUFZCXCHM-UHFFFAOYSA-N,polyphenol_ellagitannin,lactonization + sequential dehydroxylation,small_molecule_polyphenol,benchmark_ssrf_rclss_2026-05-22,PMID:24909569;DOI:10.1039/c4fo00092g,pure strain (partial) + in vitro,4,high,ellagic acid metabolizing cluster (uncharacterized),Gordonibacter urolithinfaciens; Gordonibacter pamelaeae; (community needed for final step),False,False,True,True,True,spot_checked,False,replace with independent non-holdout examples
round2_ellagitannin_urolithin_multistep_0008,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,AFSDNFLWKVMVRB-UHFFFAOYSA-N,urolithin M5,C1=CC(=C(C2=C1C3=C(C(=C(C=C3C(=O)O2)O)O)O)O)O,ZELMDXUEWHBWPN-UHFFFAOYSA-N,polyphenol_urolithin,Gordonibacter strains initiate ellagic-acid catabolism to early urolithin intermediates detected in pure culture.,small_molecule_polyphenol,curated_literature_gap7_import_ready_v1,PMID:24909569;DOI:10.1039/c4fo00092g,strain_fermentation,4,strain_fermentation,ellagic acid lactone-opening/decarboxylation activity,Gordonibacter urolithinfaciens (DSM 27213); Gordonibacter pamelaeae (DSM 19378),True,False,False,True,True,spot_checked,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_ellagitannin_urolithin_multistep_0009,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,urolithin M5,C1=CC(=C(C2=C1C3=C(C(=C(C=C3C(=O)O2)O)O)O)O)O,ZELMDXUEWHBWPN-UHFFFAOYSA-N,urolithin M6,C1=CC2=C(C=C1O)OC(=O)C3=CC(=C(C(=C23)O)O)O,LGXFTZDSEIQMMP-UHFFFAOYSA-N,polyphenol_urolithin,Sequential dehydroxylation converts urolithin M5 to M6 during ellagic-acid fermentation.,small_molecule_polyphenol,curated_literature_gap7_import_ready_v1,PMID:24909569;DOI:10.1039/c4fo00092g,strain_fermentation,4,strain_fermentation,urolithin dehydroxylase activity,Gordonibacter urolithinfaciens (DSM 27213); Gordonibacter pamelaeae (DSM 19378),True,False,False,True,False,spot_checked,False,trace why positive reaction is absent from clean_candidates_full before retraining
round2_ellagitannin_urolithin_multistep_0010,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,urolithin M6,C1=CC2=C(C=C1O)OC(=O)C3=CC(=C(C(=C23)O)O)O,LGXFTZDSEIQMMP-UHFFFAOYSA-N,urolithin C,C1=CC2=C(C=C1O)OC(=O)C3=CC(=C(C=C23)O)O,HHXMEXZVPJFAIJ-UHFFFAOYSA-N,polyphenol_urolithin,Urolithin M6 undergoes dehydroxylation to urolithin C in Gordonibacter cultures.,small_molecule_polyphenol,curated_literature_gap7_import_ready_v1,PMID:24909569;DOI:10.1039/c4fo00092g,strain_fermentation,4,strain_fermentation,urolithin dehydroxylase activity,Gordonibacter urolithinfaciens (DSM 27213); Gordonibacter pamelaeae (DSM 19378),True,False,False,True,False,spot_checked,False,trace why positive reaction is absent from clean_candidates_full before retraining
