round,query_slug,query,rhea_available_count,rhea_id,equation,balanced,transport,rhea_url,screen_status_round10,training_decision_round10,required_next_check
10,caffeic_acid,caffeic acid,17,12520,L-dopa = (E)-caffeate + NH4(+),True,False,https://www.rhea-db.org/rhea/12520,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,20225,(E)-caffeate + S-adenosyl-L-methionine = (E)-ferulate + S-adenosyl-L-homocysteine + H(+),True,False,https://www.rhea-db.org/rhea/20225,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,20689,chlorogenate + H2O = L-quinate + (E)-caffeate + H(+),True,False,https://www.rhea-db.org/rhea/20689,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,82259,(E)-4-coumarate + reduced [NADPH--hemoprotein reductase] + O2 = (E)-caffeate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),True,False,https://www.rhea-db.org/rhea/82259,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,49264,5-O-[(E)-caffeoyl]-shikimate + H2O = shikimate + (E)-caffeate + H(+),True,False,https://www.rhea-db.org/rhea/49264,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,71155,(E)-caffeoylpyruvate + H2O = (E)-caffeate + pyruvate + H(+),True,False,https://www.rhea-db.org/rhea/71155,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,71123,(E)-caffeate + 2 malonyl-CoA + ATP + H(+) = hispidin + AMP + 2 CO2 + diphosphate + 2 CoA,True,False,https://www.rhea-db.org/rhea/71123,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,36299,(E)-caffeate + ATP + CoA = (E)-caffeoyl-CoA + AMP + diphosphate,True,False,https://www.rhea-db.org/rhea/36299,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,72431,(E)-caffeate + ATP + H(+) = (E)-caffeoyl-AMP + diphosphate,True,False,https://www.rhea-db.org/rhea/72431,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,22216,"(E)-caffeate + O2 = 3-(2-carboxyethenyl)-cis,cis-muconate + 2 H(+)",True,False,https://www.rhea-db.org/rhea/22216,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,38027,"hydrocaffeoyl-CoA + (E)-caffeate = 3-(3,4-dihydroxyphenyl)propanoate + (E)-caffeoyl-CoA",True,False,https://www.rhea-db.org/rhea/38027,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,79503,"3-(3,4-dihydroxyphenyl)propanoate + NAD(+) = (E)-caffeate + NADH + H(+)",True,False,https://www.rhea-db.org/rhea/79503,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,57464,(E)-caffeate + UDP-alpha-D-glucose = 1-O-[(E)-caffeoyl]-beta-D-glucose + UDP,True,False,https://www.rhea-db.org/rhea/57464,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,82267,(E)-4-coumaric acid methyl ester + reduced [NADPH--hemoprotein reductase] + O2 = methyl (E)-caffeate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),True,False,https://www.rhea-db.org/rhea/82267,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,82263,(E)-4-coumaraldehyde + reduced [NADPH--hemoprotein reductase] + O2 = (E)-caffeyl aldehyde + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),True,False,https://www.rhea-db.org/rhea/82263,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
10,caffeic_acid,caffeic acid,17,45728,(E)-caffeyl alcohol + NADP(+) = (E)-caffeyl aldehyde + NADPH + H(+),True,False,https://www.rhea-db.org/rhea/45728,source_rule_candidate_for_phenolic_acid_family,source_rule_candidate_not_positive_label,"map participants to substrate/product IDs, confirm direction, EC/source, license, and whether this is exact to food-gut target"
