round,pmid,priority_families,query_ids,title,journal,year,doi,triage_status_round14,training_label_allowed_round14,negative_label_allowed_round14,reason_or_next_check,pubmed_url
14,12736449,lignan_redox_and_deglycosylation,pinoresinol_lariciresinol,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",Chemical & pharmaceutical bulletin,2003,10.1248/cpb.51.508,known_existing_gold_or_supporting_context,False,False,existing_gold_exact_or_support: pinoresinol -> lariciresinol,https://pubmed.ncbi.nlm.nih.gov/12736449/
14,15262925,glycoside_and_hmo_hydrolysis,hmo_fucosidase_broad,"Molecular cloning and characterization of Bifidobacterium bifidum 1,2-alpha-L-fucosidase (AfcA), a novel inverting glycosidase (glycoside hydrolase family 95).",Journal of bacteriology,2004,10.1128/JB.186.15.4885-4893.2004,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/15262925/
14,15877880,lignan_redox_and_deglycosylation,pinoresinol_lariciresinol,"Lignan contents of Dutch plant foods: a database including lariciresinol, pinoresinol, secoisolariciresinol and matairesinol.",The British journal of nutrition,2005,10.1079/bjn20051371,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/15877880/
14,16076107,prenylflavonoid_o_demethylation,isoxanthohumol_8pn,Activation of proestrogens from hops (Humulus lupulus L.) by intestinal microbiota; conversion of isoxanthohumol into 8-prenylnaringenin.,Journal of agricultural and food chemistry,2005,10.1021/jf0509714,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/16076107/
14,17449591,lignan_redox_and_deglycosylation,pinoresinol_lariciresinol,Relation between plasma enterodiol and enterolactone and dietary intake of lignans in a Dutch endoscopy-based population.,The Journal of nutrition,2007,10.1093/jn/137.5.1266,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/17449591/
14,17459873,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad;hmo_fucosidase_broad,"Structural basis of the catalytic reaction mechanism of novel 1,2-alpha-L-fucosidase from Bifidobacterium bifidum.",The Journal of biological chemistry,2007,10.1074/jbc.M702246200,literature_context_only,False,False,"Useful search context, not a direct training label.",https://pubmed.ncbi.nlm.nih.gov/17459873/
14,17506823,prenylflavonoid_o_demethylation,isoxanthohumol_8pn,"Metabolism of isoflavones, lignans and prenylflavonoids by intestinal bacteria: producer phenotyping and relation with intestinal community.",FEMS microbiology ecology,2007,10.1111/j.1574-6941.2007.00330.x,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/17506823/
14,17990850,urolithin_dehydroxylation,urolithin_c_to_a_broad,Iberian pig as a model to clarify obscure points in the bioavailability and metabolism of ellagitannins in humans.,Journal of agricultural and food chemistry,2007,10.1021/jf0723864,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/17990850/
14,18328079,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,Isolation and identification of equol-producing bacterial strains from cultures of pig faeces.,FEMS microbiology letters,2008,10.1111/j.1574-6968.2008.01108.x,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/18328079/
14,18539813,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,Conversion of daidzein and genistein by an anaerobic bacterium newly isolated from the mouse intestine.,Applied and environmental microbiology,2008,10.1128/AEM.00555-08,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/18539813/
