round,source_id,compound_role,chebi_id,chebi_name,chebi_ascii_name,chebi_formula,chebi_charge,chebi_smiles,chebi_inchikey,chebi_block1,chebi_structure_status,chebi_raw_file,pubchem_query_id,pubchem_cid,pubchem_formula,pubchem_smiles,pubchem_inchikey,pubchem_block1,pubchem_structure_status,pubchem_raw_file,cross_source_structure_status,training_mapping_note
15,RHEA:16309,substrate,CHEBI:9407,taurochenodeoxycholate,taurochenodeoxycholate,C26H44NO6S,-1,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)[O-])[C@]1([H])[C@H](O)C2,BHTRKEVKTKCXOH-BJLOMENOSA-M,BHTRKEVKTKCXOH,mapped,data\curation\chebi_round15_raw\CHEBI_9407.json,taurochenodeoxycholate,387316,C26H45NO6S,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,BHTRKEVKTKCXOH-BJLOMENOSA-N,BHTRKEVKTKCXOH,mapped,data\curation\pubchem_round15_raw\taurochenodeoxycholate_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:16309,primary_product,CHEBI:36234,chenodeoxycholate,chenodeoxycholate,C24H39O4,-1,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,RUDATBOHQWOJDD-BSWAIDMHSA-M,RUDATBOHQWOJDD,mapped,data\curation\chebi_round15_raw\CHEBI_36234.json,chenodeoxycholate,9548590,C24H39O4-,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,RUDATBOHQWOJDD-BSWAIDMHSA-M,RUDATBOHQWOJDD,mapped,data\curation\pubchem_round15_raw\chenodeoxycholate_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:16309,coproduct_context,CHEBI:507393,taurine zwitterion,taurine zwitterion,C2H7NO3S,0,[NH3+]CCS(=O)(=O)[O-],XOAAWQZATWQOTB-UHFFFAOYSA-N,XOAAWQZATWQOTB,mapped,data\curation\chebi_round15_raw\CHEBI_507393.json,,,,,,,not_queried,,chebi_only,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:19353,substrate,CHEBI:29746,glycocholate,glycocholate,C26H42NO6,-1,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)[O-])[C@]1([H])[C@H](O)C2,RFDAIACWWDREDC-FRVQLJSFSA-M,RFDAIACWWDREDC,mapped,data\curation\chebi_round15_raw\CHEBI_29746.json,glycocholate,10140,C26H43NO6,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,RFDAIACWWDREDC-FRVQLJSFSA-N,RFDAIACWWDREDC,mapped,data\curation\pubchem_round15_raw\glycocholate_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:19353,primary_product,CHEBI:29747,cholate,cholate,C24H39O5,-1,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,BHQCQFFYRZLCQQ-OELDTZBJSA-M,BHQCQFFYRZLCQQ,mapped,data\curation\chebi_round15_raw\CHEBI_29747.json,cholate,5460314,C24H39O5-,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,BHQCQFFYRZLCQQ-OELDTZBJSA-M,BHQCQFFYRZLCQQ,mapped,data\curation\pubchem_round15_raw\cholate_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:19353,coproduct_context,CHEBI:57305,glycine zwitterion,glycine zwitterion,C2H5NO2,0,[NH3+]CC(=O)[O-],DHMQDGOQFOQNFH-UHFFFAOYSA-N,DHMQDGOQFOQNFH,mapped,data\curation\chebi_round15_raw\CHEBI_57305.json,,,,,,,not_queried,,chebi_only,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:20689,substrate,CHEBI:57644,chlorogenate,chlorogenate,C16H17O9,-1,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)[O-])C[C@@H](O)[C@H]1O,CWVRJTMFETXNAD-JUHZACGLSA-M,CWVRJTMFETXNAD,mapped,data\curation\chebi_round15_raw\CHEBI_57644.json,chlorogenate,1794426,C16H17O9-,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)[O-])O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,CWVRJTMFETXNAD-JUHZACGLSA-M,CWVRJTMFETXNAD,mapped,data\curation\pubchem_round15_raw\chlorogenate_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:20689,primary_product,CHEBI:57770,trans-caffeate,trans-caffeate,C9H7O4,-1,O=C([O-])/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-M,QAIPRVGONGVQAS,mapped,data\curation\chebi_round15_raw\CHEBI_57770.json,trans_caffeate,54691412,C9H7O4-,C1=CC(=C(C=C1/C=C/C(=O)O)O)[O-],QAIPRVGONGVQAS-DUXPYHPUSA-M,QAIPRVGONGVQAS,mapped,data\curation\pubchem_round15_raw\trans_caffeate_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:20689,coproduct_context,CHEBI:29751,(−)-quinate,(-)-quinate,C7H11O6,-1,O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1,AAWZDTNXLSGCEK-WYWMIBKRSA-M,AAWZDTNXLSGCEK,mapped,data\curation\chebi_round15_raw\CHEBI_29751.json,,,,,,,not_queried,,chebi_only,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
15,RHEA:69683,substrate,CHEBI:42202,daidzein 7-O-β-D-glucoside,daidzein 7-O-beta-D-glucoside,C21H20O9,0,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,KYQZWONCHDNPDP-QNDFHXLGSA-N,KYQZWONCHDNPDP,mapped,data\curation\chebi_round15_raw\CHEBI_42202.json,daidzein_7_o_beta_d_glucoside,107971,C21H20O9,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,KYQZWONCHDNPDP-QNDFHXLGSA-N,KYQZWONCHDNPDP,mapped,data\curation\pubchem_round15_raw\daidzein_7_o_beta_d_glucoside_pubchem.json,consistent_block1,Use ChEBI as primary source; PubChem is a block1 cross-check when available.
