round,pair_key,source_id,module,priority_family,n_rules_requested,require_ec,module_rules_loaded,generated_product_count,target_generated,target_rule_count,target_hit_ec_classes,rule_path_interpretation
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,400,False,400,3,True,1,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,400,False,400,3,False,0,,target not generated under this rule sample/filter
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,400,False,400,6,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,400,False,400,23,True,1,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,400,True,280,0,False,0,,target not generated under this rule sample/filter
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,400,True,280,0,False,0,,target not generated under this rule sample/filter
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,400,True,202,0,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,400,True,191,9,False,0,,target not generated under this rule sample/filter
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,600,False,600,10,True,1,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,600,False,600,11,False,0,,target not generated under this rule sample/filter
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,600,False,600,12,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,600,False,600,35,True,3,0;3,target generated by at least one rule path in this setting
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,600,True,416,0,False,0,,target not generated under this rule sample/filter
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,600,True,416,0,False,0,,target not generated under this rule sample/filter
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,600,True,307,0,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,600,True,293,17,True,1,3,target generated with EC-bearing rules
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,800,False,800,13,True,1,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,800,False,800,14,True,2,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,800,False,800,14,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,800,False,800,37,True,3,0;3,target generated by at least one rule path in this setting
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,800,True,563,3,False,0,,target not generated under this rule sample/filter
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,800,True,563,0,False,0,,target not generated under this rule sample/filter
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,800,True,401,0,False,0,,target not generated under this rule sample/filter
