family,raw_pairs,raw_substrates,raw_gold_pairs,raw_silver_pairs,raw_weak_pairs,reactions_pairs,reactions_substrates,reactions_gold_pairs,reactions_silver_pairs,reactions_weak_pairs,clean_full_pairs,clean_full_substrates,clean_full_gold_pairs,clean_full_silver_pairs,clean_full_weak_pairs,clean_pairs,clean_substrates,clean_gold_pairs,clean_silver_pairs,clean_weak_pairs,module_hint,lost_reactions_to_clean_full_pairs,lost_clean_full_to_clean_pairs,round16_route_review_pairs,round16_route_blocker_pairs,rhea17_specific_or_exact_leads,rhea17_generic_template_context,rhea17_no_direct_hit,pubmed17_enzyme_or_mechanism_leads,pubmed17_manual_exact_pair_leads,pubmed17_context_only,priority_score,priority_level,dominant_gap_type,next_action
bile_acid_deconjugation_and_lipid_context,392,360,8,378,6,388,360,4,378,6,163,156,6,146,11,96,94,4,88,4,D,225,67,2,2,0,0,0,0,0,0,8,P0,route_repair_before_sample_import,repair clean route for existing positives; do not import duplicate labels
bile_acid_secondary_transformations,62,38,10,27,25,61,38,8,27,26,19,19,0,6,13,14,13,0,4,10,D,42,5,0,0,0,0,2,1,1,1,4,P1,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
glucuronide_sulfate_deconjugation,202,147,3,55,144,201,146,0,56,145,90,83,0,16,74,62,61,0,6,56,A,111,28,0,0,7,3,0,0,1,0,4,P1,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
glycoside_and_hmo_hydrolysis,924,449,12,448,464,924,449,11,448,465,572,285,20,228,324,431,210,20,193,218,B,352,141,0,0,0,0,0,0,0,0,2,P2,generator_recall_or_rule_pool_gap,trace why reactions are present but not generated; add source-traceable rule overlays only
hydroxycinnamate_reduction_and_hydrolysis,28,17,10,13,5,28,17,10,13,5,7,6,1,6,0,2,2,0,2,0,A,21,5,1,1,0,0,2,0,0,0,8,P0,route_repair_before_sample_import,repair clean route for existing positives; do not import duplicate labels
polyphenol_ring_fission,30,19,8,20,2,26,17,4,20,2,1,1,0,1,0,0,0,0,0,0,A,25,1,0,0,0,0,0,0,0,0,4,P1,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
urolithin_dehydroxylation,13,9,13,0,0,11,9,11,0,0,0,0,0,0,0,0,0,0,0,0,A,11,0,0,0,0,0,0,0,0,0,2,P2,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
isoflavone_reductive_and_glycoside_metabolism,13,9,5,6,2,12,9,4,6,2,0,0,0,0,0,0,0,0,0,0,B,12,0,1,0,0,0,0,0,0,0,2,P2,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
lignan_redox_and_deglycosylation,9,5,5,4,0,8,5,4,4,0,0,0,0,0,0,0,0,0,0,0,A,8,0,0,0,0,0,0,0,0,0,2,P2,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
prenylflavonoid_o_demethylation,54,52,0,42,12,54,52,0,42,12,7,7,0,6,1,3,3,0,3,0,A,47,4,0,0,0,0,0,0,0,0,2,P2,generator_recall_or_rule_pool_gap,trace why reactions are present but not generated; add source-traceable rule overlays only
tryptophan_indole_metabolism,330,166,7,97,226,328,166,3,98,227,61,44,4,14,43,53,33,3,16,34,C,267,8,0,0,7,0,0,0,11,9,4,P1,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
tma_choline_carnitine_metabolism,321,213,3,16,302,320,213,2,16,302,126,88,3,8,115,122,85,4,7,111,D,194,4,0,0,3,0,0,3,26,11,4,P1,gold_test_visibility_gap,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
azoreductase_nitroreductase_xenobiotic,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,1,0,1,1,2,0,3,P2,source_backed_family_undercoverage,"extract exact Rhea/PubMed substrate-product pairs, map structures, de-dup, then run generator gate"
protein_peptide_amino_acid_generic,2343,983,14,591,1738,2341,983,9,592,1740,619,385,23,191,405,485,359,6,139,340,C,1722,134,0,0,0,0,0,0,0,0,0,P2,generic_bucket_needs_subfamily_split,split this broad bucket into named biochemical subfamilies before using it for production scoring
fatty_lipid_generic,1291,756,5,125,1161,1290,756,4,125,1161,490,341,0,41,449,499,335,0,46,453,D,800,0,0,0,0,0,0,0,0,0,0,P2,generic_bucket_needs_subfamily_split,split this broad bucket into named biochemical subfamilies before using it for production scoring
carbohydrate_generic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,P2,generic_bucket_needs_subfamily_split,split this broad bucket into named biochemical subfamilies before using it for production scoring
polyphenol_generic,4558,2464,7,2108,2443,4557,2463,6,2108,2443,492,371,1,241,250,372,275,0,219,153,A,4065,120,0,0,0,0,0,0,0,0,0,P2,generic_bucket_needs_subfamily_split,split this broad bucket into named biochemical subfamilies before using it for production scoring
other_or_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,P2,generic_bucket_needs_subfamily_split,split this broad bucket into named biochemical subfamilies before using it for production scoring
