round,chebi_id,name,ascii_name,stars,formula,charge,smiles,inchikey,inchikey_block1,structure_status,raw_file
18,CHEBI:140317,phenyl sulfate oxoanion,phenyl sulfate oxoanion,3,C6O4SR5,-1,*c1c(*)c(*)c(OS(=O)(=O)[O-])c(*)c1*,,,missing_structure,data\curation\chebi_round18_raw\CHEBI_140317.json
18,CHEBI:141254,monogalactosyldiacylglycerol 34:2,monogalactosyldiacylglycerol 34:2,2,C43H78O10,0,[1*]C(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC([2*])=O,,,missing_structure,data\curation\chebi_round18_raw\CHEBI_141254.json
18,CHEBI:151635,"N-[(2R,3R,4R,5S,6R)-5-[(2S,3R,4S,5S,6R)-4-[(2S,3R,4R,5S,6R)-3-Acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)-5-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[[(2R,3S,4S,5R,6S)-4-[(2S,3R,4R,5S,6R)-3-acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)-5-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]acetamide","N-[(2R,3R,4R,5S,6R)-5-[(2S,3R,4S,5S,6R)-4-[(2S,3R,4R,5S,6R)-3-Acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)-5-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[[(2R,3S,4S,5R,6S)-4-[(2S,3R,4R,5S,6R)-3-acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)-5-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]acetamide",2,C84H141N3O61,0,CC(=O)N[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)O[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)[C@@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,MFUCOUCXFOKVKI-YGXIEPALSA-N,MFUCOUCXFOKVKI,mapped,data\curation\chebi_round18_raw\CHEBI_151635.json
18,CHEBI:15343,acetaldehyde,acetaldehyde,3,C2H4O,0,[H]C(C)=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF,mapped,data\curation\chebi_round18_raw\CHEBI_15343.json
18,CHEBI:15354,choline,choline,3,C5H14NO,1,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,OEYIOHPDSNJKLS,mapped,data\curation\chebi_round18_raw\CHEBI_15354.json
18,CHEBI:15361,pyruvate,pyruvate,3,C3H3O3,-1,CC(=O)C(=O)[O-],LCTONWCANYUPML-UHFFFAOYSA-M,LCTONWCANYUPML,mapped,data\curation\chebi_round18_raw\CHEBI_15361.json
18,CHEBI:15377,water,water,3,H2O,0,[H]O[H],XLYOFNOQVPJJNP-UHFFFAOYSA-N,XLYOFNOQVPJJNP,mapped,data\curation\chebi_round18_raw\CHEBI_15377.json
18,CHEBI:15378,hydron,hydron,3,H,1,[H+],GPRLSGONYQIRFK-UHFFFAOYSA-N,GPRLSGONYQIRFK,mapped,data\curation\chebi_round18_raw\CHEBI_15378.json
18,CHEBI:15379,dioxygen,dioxygen,3,O2,0,O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N,MYMOFIZGZYHOMD,mapped,data\curation\chebi_round18_raw\CHEBI_15379.json
18,CHEBI:16189,sulfate,sulfate,3,O4S,-2,O=S(=O)([O-])[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,mapped,data\curation\chebi_round18_raw\CHEBI_16189.json
