round,candidate_id,priority,module,reaction_family,reaction_type,substrate_name,product_name,substrate_smiles,product_smiles,sb,pb,pair_key,tier,source_dataset,source_origin_type,training_use_recommendation,enzyme_ec,microbe_or_strain,supporting_sentence,in_reactions,in_clean_full_pos,in_clean_pos,route_gap_round21,decision_round21,training_allowed_round21,verification_status_round21,pubmed_relevance_round21,rhea_id,rhea_equation,rhea_status,pubmed_pmid,pubmed_title,pubmed_journal,pubmed_pubdate,evidence_sources_round21
21,R21-P0-001,P0,A,polyphenol_urolithin,A multi-subunit molybdoenzyme removes the 9-hydroxyl group from urolithin C to generate urolithin A.,urolithin C,urolithin A,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,O=c1oc2cc(O)ccc2c2ccc(O)cc12,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,A__HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Enterocloster bolteae-related Enterocloster spp.; Enterocloster clostridioformis-related isolates,A multi-subunit molybdoenzyme removes the 9-hydroxyl group from urolithin C to generate urolithin A.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,39856097,Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species.,Nat Commun,2025 Jan 24,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-002,P0,A,catechol_dehydroxylation,Molybdenum-dependent catechol dehydroxylases remove a para-hydroxyl group from dopamine to form m-tyramine.,dopamine,m-tyramine,NCCc1ccc(O)c(O)c1,NCCc1cccc(O)c1,VYFYYTLLBUKUHU,GHFGJTVYMNRGBY,A__VYFYYTLLBUKUHU__GHFGJTVYMNRGBY,gold,curated_literature_non7_extension_candidates_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Eggerthella lenta (DSM 2243); Gordonibacter pamelaeae (DSM 19378),Molybdenum-dependent catechol dehydroxylases remove a para-hydroxyl group from dopamine to form m-tyramine.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,verified_exact_reaction_rhea_plus_literature,title_context_pass,RHEA:61520,dopamine + AH2 = 3-tyramine + A + H2O,approved,32067637,A widely distributed metalloenzyme class enables gut microbial metabolism of host- and diet-derived catechols.,Elife,2020 Feb 18,Rhea exact approved reaction
21,R21-P0-003,P0,A,polyphenol_urolithin,Ellagibacter produces isourolithin A from urolithin C through an alternate regioselective dehydroxylation route.,urolithin C,isourolithin A,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,O=c1oc2cc(O)ccc2c2cc(O)ccc12,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,A__HHXMEXZVPJFAIJ__WDGSXHQNUPZEHA,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Ellagibacter isourolithinifaciens (DSM 104140),Ellagibacter produces isourolithin A from urolithin C through an alternate regioselective dehydroxylation route.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",Int J Syst Evol Microbiol,2018 May,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-004,P0,A,polyphenol_urolithin,Ellagibacter and related gut bacteria can continue dehydroxylation from urolithin A toward urolithin B.,urolithin A,urolithin B,O=c1oc2cc(O)ccc2c2ccc(O)cc12,O=c1oc2cc(O)ccc2c2ccccc12,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,A__RIUPLDUFZCXCHM__WXUQMTRHPNOXBV,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Ellagibacter isourolithinifaciens (DSM 104140); Enterocloster spp. carrying ucd-like genes,Ellagibacter and related gut bacteria can continue dehydroxylation from urolithin A toward urolithin B.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",Int J Syst Evol Microbiol,2018 May,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-005,P0,A,polyphenol_urolithin,Isourolithin A is further dehydroxylated to urolithin B in isourolithin-producing gut isolates.,isourolithin A,urolithin B,O=c1oc2cc(O)ccc2c2cc(O)ccc12,O=c1oc2cc(O)ccc2c2ccccc12,WDGSXHQNUPZEHA,WXUQMTRHPNOXBV,A__WDGSXHQNUPZEHA__WXUQMTRHPNOXBV,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Ellagibacter isourolithinifaciens (DSM 104140),Isourolithin A is further dehydroxylated to urolithin B in isourolithin-producing gut isolates.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",Int J Syst Evol Microbiol,2018 May,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-006,P0,A,polyphenol_urolithin,Sequential dehydroxylation converts urolithin M5 to M6 during ellagic-acid fermentation.,urolithin M5,urolithin M6,O=c1oc2c(O)c(O)ccc2c2c(O)c(O)c(O)cc12,O=c1oc2cc(O)ccc2c2c(O)c(O)c(O)cc12,ZELMDXUEWHBWPN,LGXFTZDSEIQMMP,A__ZELMDXUEWHBWPN__LGXFTZDSEIQMMP,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Gordonibacter urolithinfaciens (DSM 27213); Gordonibacter pamelaeae (DSM 19378),Sequential dehydroxylation converts urolithin M5 to M6 during ellagic-acid fermentation.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,24909569,Description of urolithin production capacity from ellagic acid of two human intestinal Gordonibacter species.,Food Funct,2014 Aug,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-007,P0,A,polyphenol_urolithin,Gordonibacter strains initiate ellagic-acid catabolism to early urolithin intermediates detected in pure culture.,ellagic acid,urolithin M5,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,O=c1oc2c(O)c(O)ccc2c2c(O)c(O)c(O)cc12,AFSDNFLWKVMVRB,ZELMDXUEWHBWPN,A__AFSDNFLWKVMVRB__ZELMDXUEWHBWPN,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Gordonibacter urolithinfaciens (DSM 27213); Gordonibacter pamelaeae (DSM 19378),Gordonibacter strains initiate ellagic-acid catabolism to early urolithin intermediates detected in pure culture.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,24909569,Description of urolithin production capacity from ellagic acid of two human intestinal Gordonibacter species.,Food Funct,2014 Aug,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-008,P0,A,polyphenol_urolithin,Urolithin M6 undergoes dehydroxylation to urolithin C in Gordonibacter cultures.,urolithin M6,urolithin C,O=c1oc2cc(O)ccc2c2c(O)c(O)c(O)cc12,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,LGXFTZDSEIQMMP,HHXMEXZVPJFAIJ,A__LGXFTZDSEIQMMP__HHXMEXZVPJFAIJ,gold,curated_literature_gap7_import_ready_v1,manual_literature_curated,strict_positive_training_after_sentence_review,NOT_ASSIGNED,Gordonibacter urolithinfaciens (DSM 27213); Gordonibacter pamelaeae (DSM 19378),Urolithin M6 undergoes dehydroxylation to urolithin C in Gordonibacter cultures.,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,24909569,Description of urolithin production capacity from ellagic acid of two human intestinal Gordonibacter species.,Food Funct,2014 Aug,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
21,R21-P0-009,P0,A,decarboxylation,protocatechuic acid -> catechol by Lactobacillus plantarum phenolic acid decarboxylase,protocatechuic acid,catechol,O=C(O)c1ccc(O)c(O)c1,Oc1ccccc1O,YQUVCSBJEUQKSH,YCIMNLLNPGFGHC,A__YQUVCSBJEUQKSH__YCIMNLLNPGFGHC,gold,foodgut_curated_reaction_evidence,manual_literature_curated,strict_positive_training_after_sentence_review,4.1.1.63,Lactobacillus plantarum; CECT 748T,decarboxylated to catechol,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,blocked_pubmed_title_mismatch_requires_recuration,title_context_mismatch,,,,18499214,In vivo imaging of the photoreceptor mosaic of a rod monochromat.,Vision Res,2008 Nov,PubMed catechol dehydroxylase literature;PubMed title mismatch
21,R21-P0-010,P0,A,functional_group_removal,urolithin M6 -> urolithin M7 by Enterocloster bolteae,urolithin M6,urolithin M7,O=c1oc2cc(O)ccc2c2c(O)c(O)c(O)cc12,O=c1oc2cc(O)ccc2c2c(O)cc(O)cc12,LGXFTZDSEIQMMP,AKJHSPSPAOUDFT,A__LGXFTZDSEIQMMP__AKJHSPSPAOUDFT,gold,foodgut_curated_reaction_evidence,manual_literature_curated,strict_positive_training_after_sentence_review,,Enterocloster bolteae,Direct supplementation with uroM6 yielded uroM7 but no uroA,True,False,False,reactions_to_clean_full_loss;final_clean_absent,route_repair_or_manual_import_gate_not_training,False,literature_verified_rhea_absent_not_training_yet,title_context_pass,,,,41298472,The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species.,NPJ Biofilms Microbiomes,2025 Nov 26,PubMed curated gut urolithin literature;Rhea no urolithin exact hit
