round,candidate_id,substrate_name,product_name,verification_status_round21,any_target_generated,require_ec_target_generated,max_decoy_count,decision_round22,next_gate,training_allowed_round22
22,R21-P0-001,urolithin C,urolithin A,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-002,dopamine,m-tyramine,verified_exact_reaction_rhea_plus_literature,False,False,21,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-003,urolithin C,isourolithin A,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-004,urolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-005,isourolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-006,urolithin M5,urolithin M6,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-007,ellagic acid,urolithin M5,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-008,urolithin M6,urolithin C,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-009,protocatechuic acid,catechol,blocked_pubmed_title_mismatch_requires_recuration,False,False,26,do_not_route_repair_until_evidence_recurated,fix source evidence mismatch or external verification first,False
22,R21-P0-010,urolithin M6,urolithin M7,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-011,urolithin M7,urolithin A,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-012,corticosterone,11beta-hydroxyprogesterone,blocked_pending_external_verification,False,False,25,do_not_route_repair_until_evidence_recurated,fix source evidence mismatch or external verification first,False
22,R21-P0-013,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,literature_verified_rhea_partial_or_absent,False,False,40,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
22,R21-P0-014,urolithin D,urolithin C,literature_verified_rhea_absent_not_training_yet,False,False,0,rule_family_missing_for_current_generator,derive/source rule from verified reaction family before importing more positives,False
