round,candidate_id,module,substrate_name,product_name,verification_status_round21,rule_variant,rule_count,generated_product_count,generated_truth_products,target_generated,target_ec_classes,target_rule_hashes,target_source_datasets,decoy_count,decoy_preview_pb,final_clean_eligible_in_dryrun,route_decision_round22,training_allowed_round22
22,R21-P0-001,A,urolithin C,urolithin A,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-001,A,urolithin C,urolithin A,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-001,A,urolithin C,urolithin A,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-001,A,urolithin C,urolithin A,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-002,A,dopamine,m-tyramine,verified_exact_reaction_rhea_plus_literature,sampled_all_800,800,11,,False,,,,11,DEKNNWJXAQTLFA;GPRLSGONYQIRFK;HJFQVSQPSPNSET;ICDKEGIUNBERCN;ISHGVKSNVLFVFL;NZHQRBVMCINAPD;OZVJHPOLBSJHBT;RHMIGKKRLLVEGS;SVDUFHMHFHGKLT;XLYOFNOQVPJJNP;ZMVAQWGFALJRBZ,False,target_not_generated_by_this_variant,False
22,R21-P0-002,A,dopamine,m-tyramine,verified_exact_reaction_rhea_plus_literature,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-002,A,dopamine,m-tyramine,verified_exact_reaction_rhea_plus_literature,all_pool_all_rules,4408,21,,False,,,,21,AACUDZJCXYXYCE;DEKNNWJXAQTLFA;FXMHTTIDXGKNPT;GACHUKQIQXVSNB;GOCVYFRHRBGOSY;GPRLSGONYQIRFK;HJFQVSQPSPNSET;ICDKEGIUNBERCN;ISHGVKSNVLFVFL;IYJOAJXSCQFTLS;KWCIWVCMDMTKSP;LCCFTBFFBCXECD,False,target_not_generated_by_this_variant,False
22,R21-P0-002,A,dopamine,m-tyramine,verified_exact_reaction_rhea_plus_literature,all_pool_require_ec,2443,2,,False,,,,2,GPRLSGONYQIRFK;ZMVAQWGFALJRBZ,False,target_not_generated_by_this_variant,False
22,R21-P0-003,A,urolithin C,isourolithin A,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-003,A,urolithin C,isourolithin A,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-003,A,urolithin C,isourolithin A,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-003,A,urolithin C,isourolithin A,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-004,A,urolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-004,A,urolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-004,A,urolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-004,A,urolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-005,A,isourolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-005,A,isourolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-005,A,isourolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-005,A,isourolithin A,urolithin B,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-006,A,urolithin M5,urolithin M6,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-006,A,urolithin M5,urolithin M6,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-006,A,urolithin M5,urolithin M6,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-006,A,urolithin M5,urolithin M6,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-007,A,ellagic acid,urolithin M5,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-007,A,ellagic acid,urolithin M5,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-007,A,ellagic acid,urolithin M5,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-007,A,ellagic acid,urolithin M5,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-008,A,urolithin M6,urolithin C,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-008,A,urolithin M6,urolithin C,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-008,A,urolithin M6,urolithin C,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-008,A,urolithin M6,urolithin C,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-009,A,protocatechuic acid,catechol,blocked_pubmed_title_mismatch_requires_recuration,sampled_all_800,800,16,KJOVGYUGXHIVAY,False,,,,15,ADUHKQBXXKYHEY;DBFJDZUUYSITIE;DGWVMPXQZBUAOI;DRKDIMGHUAWNRS;DVJHQNQHIBZHEF;FBOCZYIJDQZQFE;FPTXOHZIIYBLQQ;GACHUKQIQXVSNB;GPRLSGONYQIRFK;ICDKEGIUNBERCN;MFWBRYATDCBUOF;NGQYUDIZIPNWJV,False,evidence_blocked_before_route_repair,False
22,R21-P0-009,A,protocatechuic acid,catechol,blocked_pubmed_title_mismatch_requires_recuration,sampled_require_ec_800,401,0,,False,,,,0,,False,evidence_blocked_before_route_repair,False
22,R21-P0-009,A,protocatechuic acid,catechol,blocked_pubmed_title_mismatch_requires_recuration,all_pool_all_rules,4408,28,KJOVGYUGXHIVAY;YOMOLPRSDGXHCY,False,,,,26,ADUHKQBXXKYHEY;BXMLIDRPYTWCIX;DBFJDZUUYSITIE;DGWVMPXQZBUAOI;DRKDIMGHUAWNRS;DVJHQNQHIBZHEF;FBOCZYIJDQZQFE;FPTXOHZIIYBLQQ;GACHUKQIQXVSNB;GPRLSGONYQIRFK;HEZMWWAKWCSUCB;IBGBGRVKPALMCQ,False,evidence_blocked_before_route_repair,False
22,R21-P0-009,A,protocatechuic acid,catechol,blocked_pubmed_title_mismatch_requires_recuration,all_pool_require_ec,2443,2,KJOVGYUGXHIVAY,False,,,,1,GPRLSGONYQIRFK,False,evidence_blocked_before_route_repair,False
22,R21-P0-010,A,urolithin M6,urolithin M7,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-010,A,urolithin M6,urolithin M7,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-010,A,urolithin M6,urolithin M7,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-010,A,urolithin M6,urolithin M7,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-011,A,urolithin M7,urolithin A,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-011,A,urolithin M7,urolithin A,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-011,A,urolithin M7,urolithin A,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-011,A,urolithin M7,urolithin A,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
