round,candidate_id,module,reaction_family,reaction_type,substrate_name,product_name,round22_target_generated,round22_decision,rhea_hit_count_round23,rhea_ids_round23,rhea_equations_round23,pubmed_ids_round23,pubmed_title_evidence_round23,ecreact_forward_hits_round23,ecreact_reverse_hits_round23,ecreact_example_forward_ec,ecreact_example_reverse_ec,source_backed_status_round23,training_allowed_round23,rule_promotion_allowed_round23,next_gate_round23
round23,R21-P0-001,A,polyphenol_urolithin,A multi-subunit molybdoenzyme removes the 9-hydroxyl group from urolithin C to generate urolithin A.,urolithin C,urolithin A,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-002,A,catechol_dehydroxylation,Molybdenum-dependent catechol dehydroxylases remove a para-hydroxyl group from dopamine to form m-tyramine.,dopamine,m-tyramine,False,rule_family_missing_for_current_generator,1,RHEA:61520,dopamine + AH2 = 3-tyramine + A + H2O,41915881; 41516146; 39856097; 39471822; 37494568; 32716447; 32067637; 31196984,41915881 (2026 Apr 15): Active Site Structure and Mechanism of a Molybdenum Catechol Dehydroxylase. | 41516146 (2025 Dec 26): Dopamine and the Gut Microbiota: Interactions Within the Microbiota-Gut-Brain Axis and Therapeutic Perspectives. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 39471822 (2024 Nov 13): Metatranscriptomics-guided discovery and characterization of a polyphenol-metabolizing gut microbial enzyme.,0,0,,,exact_rhea_plus_pubmed_gut_support_but_current_generator_missing_rule,False,False,find_atom_mapped_rule_in_enzymemap_retrorules_or_derive_from_mapped_exact_reaction
round23,R21-P0-003,A,polyphenol_urolithin,Ellagibacter produces isourolithin A from urolithin C through an alternate regioselective dehydroxylation route.,urolithin C,isourolithin A,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-004,A,polyphenol_urolithin,Ellagibacter and related gut bacteria can continue dehydroxylation from urolithin A toward urolithin B.,urolithin A,urolithin B,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-005,A,polyphenol_urolithin,Isourolithin A is further dehydroxylated to urolithin B in isourolithin-producing gut isolates.,isourolithin A,urolithin B,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-006,A,polyphenol_urolithin,Sequential dehydroxylation converts urolithin M5 to M6 during ellagic-acid fermentation.,urolithin M5,urolithin M6,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-007,A,polyphenol_urolithin,Gordonibacter strains initiate ellagic-acid catabolism to early urolithin intermediates detected in pure culture.,ellagic acid,urolithin M5,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-008,A,polyphenol_urolithin,Urolithin M6 undergoes dehydroxylation to urolithin C in Gordonibacter cultures.,urolithin M6,urolithin C,False,rule_family_missing_for_current_generator,0,,,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",0,0,,,pubmed_gut_support_rhea_ecreact_absent_requires_exact_table_and_mapping,False,False,extract exact substrate_product_rows_from_recent_enterocloster_papers_then_map_structures
round23,R21-P0-009,A,decarboxylation,protocatechuic acid -> catechol by Lactobacillus plantarum phenolic acid decarboxylase,protocatechuic acid,catechol,False,do_not_route_repair_until_evidence_recurated,3,RHEA:22416; RHEA:10084; RHEA:24044,"3,4-dihydroxybenzoate + H(+) = catechol + CO2; 3,4-dihydroxybenzoate + O2 = 3-carboxy-cis,cis-muconate + 2 H(+); 3,4-dihydroxybenzoate + O2 = 4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde + H(+)",41645579; 40795100; 40604879; 39730399; 39319724; 38117061; 37399977; 36563956,"41645579 (2026 Feb): Metabolic Engineering of Plasmid-Free Escherichia coli for the Highly Efficient Biosynthesis of cis,cis-Muconic Acid From Glucose. | 40795100 (2025 Sep 24): Artificial Biological Funnel Design Enabled Valorization of Aromatic Derivatives into Catechol. | 40604879 (2025 Jul 2): Cis,cis-muconic acid production from lignin related molecules byAcinetobacter baylyi ADP1. | 39730399 (2024 Dec 28): Whole genome analysis of 26 bacterial strains reveals aromatic and hydrocarbon degrading enzymes from diverse environmental soil samples.",1,1,4.1.1.59,4.1.1.63,exact_rhea_and_ecreact_pair_support_but_gut_context_and_prior_pmid_need_recuration,False,False,recurate_pmids_then_route_test_rhea_22416_or_ecreact_4_1_1_59_rule_family
round23,R21-P0-010,A,functional_group_removal,urolithin M6 -> urolithin M7 by Enterocloster bolteae,urolithin M6,urolithin M7,False,rule_family_missing_for_current_generator,0,,,,,0,0,,,not_sufficiently_rescreened_round23,False,False,run_targeted_rhea_pubmed_enzymemap_ecreact_query_before_training
