round,source,query,raw_path,hit_count,ids,first_equations_or_titles,audit_use
round23,Rhea,RHEA:61520,data/curation/rhea_round23_raw/RHEA_61520.json,1,RHEA:61520,dopamine + AH2 = 3-tyramine + A + H2O,exact reaction database screen
round23,Rhea,dopamine 3-tyramine,data/curation/rhea_round23_raw/dopamine_3_tyramine.json,1,RHEA:61520,dopamine + AH2 = 3-tyramine + A + H2O,exact reaction database screen
round23,Rhea,catechol dehydroxylase,data/curation/rhea_round23_raw/catechol_dehydroxylase.json,0,,,exact reaction database screen
round23,Rhea,hydrocaffeic acid,data/curation/rhea_round23_raw/hydrocaffeic_acid.json,7,RHEA:24760; RHEA:17669; RHEA:24785; RHEA:38027; RHEA:79503; RHEA:23840; RHEA:25062,"L-dopa + NADH + H(+) = 3-(3,4-dihydroxyphenyl)propanoate + NH4(+) + NAD(+); 3-(2-hydroxyphenyl)propanoate + NADH + O2 + H(+) = 3-(2,3-dihydroxyphenyl)propanoate + NAD(+) + H2O; 3-(3-hydroxyphenyl)propanoate + NADH + O2 + H(+) = 3-(2,3-dihydroxyphenyl)propanoate + NAD(+) + H2O",exact reaction database screen
round23,Rhea,urolithin,data/curation/rhea_round23_raw/urolithin.json,0,,,exact reaction database screen
round23,Rhea,urolithin dehydroxylase,data/curation/rhea_round23_raw/urolithin_dehydroxylase.json,0,,,exact reaction database screen
round23,Rhea,protocatechuate catechol,data/curation/rhea_round23_raw/protocatechuate_catechol.json,3,RHEA:22416; RHEA:10084; RHEA:24044,"3,4-dihydroxybenzoate + H(+) = catechol + CO2; 3,4-dihydroxybenzoate + O2 = 3-carboxy-cis,cis-muconate + 2 H(+); 3,4-dihydroxybenzoate + O2 = 4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde + H(+)",exact reaction database screen
round23,NCBI PubMed,catechol dehydroxylase gut microbiota,data/curation/ncbi_round23_raw/catechol_dehydroxylase_gut_esummary.json,1,41915881; 41516146; 39856097; 39471822; 37494568; 32716447; 32067637; 31196984,41915881 (2026 Apr 15): Active Site Structure and Mechanism of a Molybdenum Catechol Dehydroxylase. | 41516146 (2025 Dec 26): Dopamine and the Gut Microbiota: Interactions Within the Microbiota-Gut-Brain Axis and Therapeutic Perspectives. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 39471822 (2024 Nov 13): Metatranscriptomics-guided discovery and characterization of a polyphenol-metabolizing gut microbial enzyme.,literature/gut context screen
round23,NCBI PubMed,urolithin dehydroxylase Enterocloster,data/curation/ncbi_round23_raw/urolithin_dehydroxylase_enterocloster_esummary.json,1,41797252; 41298472; 39856097; 37494568,"41797252 (2026 Jun): Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243(T) catalyzing regiospecific dehydroxylation of urolithins. | 41298472 (2025 Nov 26): The presence and induction of regioselective dehydroxylases dictate urolithin metabolism by Enterocloster species. | 39856097 (2025 Jan 24): Diet-derived urolithin A is produced by a dehydroxylase encoded by human gut Enterocloster species. | 37494568 (2023 Aug 9): NMR Spectroscopic Identification of Urolithin G, a Novel Trihydroxy Urolithin Produced by Human Intestinal Enterocloster Species.",literature/gut context screen
round23,NCBI PubMed,hydrocaffeic acid dehydroxylase Gordonibacter,data/curation/ncbi_round23_raw/hydrocaffeic_dehydroxylase_gordonibacter_esummary.json,1,41915881; 39471822,41915881 (2026 Apr 15): Active Site Structure and Mechanism of a Molybdenum Catechol Dehydroxylase. | 39471822 (2024 Nov 13): Metatranscriptomics-guided discovery and characterization of a polyphenol-metabolizing gut microbial enzyme.,literature/gut context screen
round23,NCBI PubMed,protocatechuate decarboxylase catechol,data/curation/ncbi_round23_raw/protocatechuate_decarboxylase_catechol_esummary.json,1,41645579; 40795100; 40604879; 39730399; 39319724; 38117061; 37399977; 36563956,"41645579 (2026 Feb): Metabolic Engineering of Plasmid-Free Escherichia coli for the Highly Efficient Biosynthesis of cis,cis-Muconic Acid From Glucose. | 40795100 (2025 Sep 24): Artificial Biological Funnel Design Enabled Valorization of Aromatic Derivatives into Catechol. | 40604879 (2025 Jul 2): Cis,cis-muconic acid production from lignin related molecules byAcinetobacter baylyi ADP1. | 39730399 (2024 Dec 28): Whole genome analysis of 26 bacterial strains reveals aromatic and hydrocarbon degrading enzymes from diverse environmental soil samples.",literature/gut context screen
round23,ECReact,exact InChIKey-block substrate/product screen for 14 Round21 P0 candidates,runtime/external_round23/ecreact_p0_exact_pair_screen_round23.csv,,,Only protocatechuic acid -> catechol showed exact forward/reverse pair hits in the local screen.,external broad enzymatic reaction dataset screen
