candidate_id,reaction_family,substrate_name,product_name,substrate_b1,product_b1,enzymemap_forward_hits,enzymemap_reverse_hits,example_forward_rule_id,example_reverse_rule_id,example_forward_ec,example_reverse_ec,example_forward_quality,example_reverse_quality,example_forward_source,example_reverse_source,example_forward_organism,example_reverse_organism,example_forward_unmapped,example_reverse_unmapped,example_forward_rule,example_reverse_rule
R21-P0-001,polyphenol_urolithin,urolithin C,urolithin A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,0,0,,,,,,,,,,,,,,
R21-P0-002,catechol_dehydroxylation,dopamine,m-tyramine,VYFYYTLLBUKUHU,GHFGJTVYMNRGBY,0,0,,,,,,,,,,,,,,
R21-P0-003,polyphenol_urolithin,urolithin C,isourolithin A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,0,0,,,,,,,,,,,,,,
R21-P0-004,polyphenol_urolithin,urolithin A,urolithin B,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,0,0,,,,,,,,,,,,,,
R21-P0-005,polyphenol_urolithin,isourolithin A,urolithin B,WDGSXHQNUPZEHA,WXUQMTRHPNOXBV,0,0,,,,,,,,,,,,,,
R21-P0-006,polyphenol_urolithin,urolithin M5,urolithin M6,ZELMDXUEWHBWPN,LGXFTZDSEIQMMP,0,0,,,,,,,,,,,,,,
R21-P0-007,polyphenol_urolithin,ellagic acid,urolithin M5,AFSDNFLWKVMVRB,ZELMDXUEWHBWPN,0,0,,,,,,,,,,,,,,
R21-P0-008,polyphenol_urolithin,urolithin M6,urolithin C,LGXFTZDSEIQMMP,HHXMEXZVPJFAIJ,0,0,,,,,,,,,,,,,,
R21-P0-009,decarboxylation,protocatechuic acid,catechol,YQUVCSBJEUQKSH,YCIMNLLNPGFGHC,10,9,92;92;92;92;91,92;92;92;91;92,4.1.1.59;4.1.1.61;4.1.1.61;4.1.1.61;4.1.1.61,4.1.1.61;4.1.1.61;4.1.1.61;4.1.1.61;4.1.1.63,1.0;1.0;1.0;1.0;1.0,1.0;1.0;1.0;1.0;1.0,direct;direct;direct;direct;direct reversed_suggested,direct reversed_suggested;direct reversed_suggested;direct reversed_suggested;direct;direct reversed_suggested,Blastobotrys adeninivorans;Enterobacter cloacae;uncultured bacterium;Sedimentibacter hydroxybenzoicus;Sedimentibacter hydroxybenzoicus,Enterobacter cloacae;uncultured bacterium;Sedimentibacter hydroxybenzoicus;Sedimentibacter hydroxybenzoicus;Enterobacter cloacae,O=C(O)c1ccc(O)c(O)c1>>O=C=O.Oc1ccccc1O;O=C(O)c1ccc(O)c(O)c1>>O=C=O.Oc1ccccc1O;O=C(O)c1ccc(O)c(O)c1>>O=C=O.Oc1ccccc1O;O=C(O)c1ccc(O)c(O)c1>>O=C=O.Oc1ccccc1O;O=C(O)c1ccc(O)c(O)c1>>O=C=O.Oc1ccccc1O,O=C=O.Oc1ccccc1O>>O=C(O)c1ccc(O)c(O)c1;O=C=O.Oc1ccccc1O>>O=C(O)c1ccc(O)c(O)c1;O=C=O.Oc1ccccc1O>>O=C(O)c1ccc(O)c(O)c1;O=C=O.Oc1ccccc1O>>O=C(O)c1ccc(O)c(O)c1;O=C=O.Oc1ccccc1O>>O=C(O)c1ccc(O)c(O)c1,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1].[#6:2]=[#8:3]>>[#6:1]-[#6:2]-[#8:3],[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3];[#6:1].[#6:2]=[#8:3]>>[#6:1]-[#6:2]-[#8:3];[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3]
R21-P0-010,functional_group_removal,urolithin M6,urolithin M7,LGXFTZDSEIQMMP,AKJHSPSPAOUDFT,0,0,,,,,,,,,,,,,,
R21-P0-011,functional_group_removal,urolithin M7,urolithin A,AKJHSPSPAOUDFT,RIUPLDUFZCXCHM,0,0,,,,,,,,,,,,,,
R21-P0-012,functional_group_removal,corticosterone,11beta-hydroxyprogesterone,OMFXVFTZEKFJBZ,BFZHCUBIASXHPK,0,1,,289,,1.14.14.16,,1.0,,direct,,Bos taurus,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+]>>C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,,[#6:1].[#6:2]1=[#6:3]-[#7:4]-[#6:5]=[#6:6]-[#6:7]-1.[#8:8]=[#8:9]>>[#6:1]-[#8:8].[#6:2]1:[#6:7]:[#6:6]:[#6:5]:[#7+:4]:[#6:3]:1.[#8:9]
R21-P0-013,functional_group_removal,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,DZAUWHJDUNRCTF,QVWAEZJXDYOKEH,0,0,,,,,,,,,,,,,,
R21-P0-014,functional_group_removal,urolithin D,urolithin C,NEZDQSKPNPRYAW,HHXMEXZVPJFAIJ,0,0,,,,,,,,,,,,,,
