round,candidate_id,substrate_name,product_name,rule_direction_from_enzymemap_screen,enzymemap_rule_id,enzymemap_ec,enzymemap_source,rule_smarts,generated_product_count,generated_product_b1s,target_b1,substrate_b1,target_generated,product_preview_smiles,training_allowed_round24,rule_promotion_allowed_round24
round24,R21-P0-009,protocatechuic acid,catechol,forward,92,4.1.1.59,direct,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,forward,92,4.1.1.61,direct,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,forward,92,4.1.1.61,direct,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,forward,92,4.1.1.61,direct,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,forward,91,4.1.1.61,direct reversed_suggested,[#6:1].[#6:2]=[#8:3]>>[#6:1]-[#6:2]-[#8:3],0,,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,False,,False,False
round24,R21-P0-009,protocatechuic acid,catechol,reverse,92,4.1.1.61,direct reversed_suggested,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,reverse,92,4.1.1.61,direct reversed_suggested,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,reverse,92,4.1.1.61,direct reversed_suggested,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-009,protocatechuic acid,catechol,reverse,91,4.1.1.61,direct,[#6:1].[#6:2]=[#8:3]>>[#6:1]-[#6:2]-[#8:3],0,,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,False,,False,False
round24,R21-P0-009,protocatechuic acid,catechol,reverse,92,4.1.1.63,direct reversed_suggested,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2,CURLTUGMZLYLDI;YCIMNLLNPGFGHC,YCIMNLLNPGFGHC,YQUVCSBJEUQKSH,True,Oc1ccccc1O;O=C=O,False,False
round24,R21-P0-012,corticosterone,11beta-hydroxyprogesterone,reverse,289,1.14.14.16,direct,[#6:1].[#6:2]1=[#6:3]-[#7:4]-[#6:5]=[#6:6]-[#6:7]-1.[#8:8]=[#8:9]>>[#6:1]-[#8:8].[#6:2]1:[#6:7]:[#6:6]:[#6:5]:[#7+:4]:[#6:3]:1.[#8:9],0,,BFZHCUBIASXHPK,OMFXVFTZEKFJBZ,False,,False,False
