round,candidate_id,module,reaction_family,substrate_name,product_name,round22_target_generated,rhea_ids_round23,ecreact_forward_hits_round23,ecreact_reverse_hits_round23,enzymemap_forward_hits_round24,enzymemap_reverse_hits_round24,enzymemap_example_forward_rule_id,enzymemap_example_reverse_rule_id,enzymemap_example_forward_ec,enzymemap_example_reverse_ec,enzymemap_rule_dryrun_checks,enzymemap_dryrun_target_generated_count,enzymemap_dryrun_rule_ids_that_generate_target,enzymemap_dryrun_ecs_that_generate_target,rule_level_status_round24,training_allowed_round24,rule_promotion_allowed_round24,next_gate_round24
round24,R21-P0-001,A,polyphenol_urolithin,urolithin C,urolithin A,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-002,A,catechol_dehydroxylation,dopamine,m-tyramine,False,RHEA:61520,0,0,0,0,,,,,0,0,,,exact_rhea_reaction_but_no_ecreact_enzymemap_rule_level_coverage,False,False,query/download RetroRules or derive mapped template from RHEA:61520 only after atom mapping
round24,R21-P0-003,A,polyphenol_urolithin,urolithin C,isourolithin A,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-004,A,polyphenol_urolithin,urolithin A,urolithin B,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-005,A,polyphenol_urolithin,isourolithin A,urolithin B,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-006,A,polyphenol_urolithin,urolithin M5,urolithin M6,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-007,A,polyphenol_urolithin,ellagic acid,urolithin M5,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-008,A,polyphenol_urolithin,urolithin M6,urolithin C,False,,0,0,0,0,,,,,0,0,,,literature_supported_but_no_rhea_ecreact_enzymemap_rule_level_coverage,False,False,extract exact urolithin substrate/product table from Enterocloster papers and atom-map before rule derivation
round24,R21-P0-009,A,decarboxylation,protocatechuic acid,catechol,False,RHEA:22416; RHEA:10084; RHEA:24044,1,1,10,9,92;92;92;92;91,92;92;92;91;92,4.1.1.59;4.1.1.61;4.1.1.61;4.1.1.61;4.1.1.61,4.1.1.61;4.1.1.61;4.1.1.61;4.1.1.61;4.1.1.63,10,8,92,4.1.1.59;4.1.1.61;4.1.1.63,external_rule_generates_target_but_blocked_by_biology_and_generality_gate,False,False,"recurate gut-specific PMID/organism evidence, quantify rule overgeneration on aromatic acids, then run isolated overlay dry-run with false-negative screen"
round24,R21-P0-010,A,functional_group_removal,urolithin M6,urolithin M7,False,,0,0,0,0,,,,,0,0,,,not_rule_level_supported_in_round24,False,False,targeted source query required before training
round24,R21-P0-011,A,functional_group_removal,urolithin M7,urolithin A,False,,0,0,0,0,,,,,0,0,,,not_rule_level_supported_in_round24,False,False,targeted source query required before training
round24,R21-P0-012,A,functional_group_removal,corticosterone,11beta-hydroxyprogesterone,False,,0,0,0,1,,289,,1.14.14.16,1,0,,,enzymemap_reverse_reaction_found_but_wrong_biological_context_and_no_target_generation,False,False,recurate gut bacterial 21-dehydroxylase evidence; do not use Bos taurus hydroxylase rule
round24,R21-P0-013,A,functional_group_removal,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,False,RHEA:24760; RHEA:17669; RHEA:24785; RHEA:38027; RHEA:79503; RHEA:23840; RHEA:25062,0,0,0,0,,,,,0,0,,,pubmed_supported_but_no_exact_enzymemap_ecreact_pair,False,False,verify exact hydrocaffeic acid dehydroxylation route and atom-mapped rule source
round24,R21-P0-014,A,functional_group_removal,urolithin D,urolithin C,False,,0,0,0,0,,,,,0,0,,,not_rule_level_supported_in_round24,False,False,targeted source query required before training
