round,rule_source,rule_id,rule_smarts,rule_ec_context,module,substrate_block1,substrate_smiles,substrate_scope,substrate_tier,generated_product_smiles,generated_product_block1,known_positive_same_pair,current_clean_candidates_full_same_pair,current_clean_candidates_full_y,current_clean_candidates_same_pair,current_clean_candidates_y,overgeneration_status,false_negative_screen_status,training_allowed_round25,rule_promotion_allowed_round25
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,WDJHALXBUFZDSR,CC(=O)CC(=O)[O-],carboxylate_like,silver,CC(C)=O,CSCPPACGZOOCGX,True,False,,False,,known_positive_recovered,not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,ZDXPYRJPNDTMRX,NC(=O)CCC([NH3+])C(=O)[O-],carboxylate_like,silver,NC(=O)CCC[NH3+],WCVPFJVXEXJFLB,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,COP(=O)([O-])[O-],CAAULPUQFIIOTL,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CC(O)C(O)COP(=O)([O-])[O-],NGHMDNPXVRFFGS,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CNCC(=O)NC(C=O)OCCOP(=O)([O-])[O-],YUORTEVHSGXALZ,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CNCC(=O)NC(CO)OCCOP(=O)([O-])[O-],OHKIMZGVKORNNO,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CNCC(=O)NC(O)C(O)C=O,ZEXWCYXRZRDLFG,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CNCC(=O)NC1OCC(O)C1O,OVIOVPCCKOERCE,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CNCC(=O)NCC(O)CO,KDSSLQUERHGRFP,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
round25,EnzymeMap,EnzymeMap:rule_id_92,[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],4.1.1.59/4.1.1.61/4.1.1.63,A,VDXLUNDMVKSKHO,O=CNCC(=O)NC1OC(COP(=O)([O-])[O-])C(O)C1O,other_positive_substrate,silver,O=CNCC(=O)NCOC(C=O)COP(=O)([O-])[O-],FTODMBJHSAVTFG,False,False,,False,,new_unlabeled_generation,unknown_not_negative,False,False
