queue_type,module,substrate_name,product_name,status,priority,next_action,source_ids
rule_import,A,caffeic acid,dihydrocaffeic acid,candidate_after_source_reaction_check,high,verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,PMID:40528807;DOI:10.1002/jsfa.70000
rule_import,A,lariciresinol,secoisolariciresinol,candidate_after_source_reaction_check,high,verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,PMID:11453749
rule_import,A,pinoresinol,lariciresinol,candidate_after_source_reaction_check,high,verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,PMID:12736449
rule_import,A,quercetin,taxifolin,candidate_after_source_reaction_check,high,verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,PMID:36432010
rule_import,A,ethyl ferulate,ferulic acid,source_recovery_required_before_import,medium,recover_microberx_source_or_replace_with_rhea_brenda_metanetx_retrorules_rule,PMID:19502437
rule_import,A,isoxanthohumol,8-prenylnaringenin,source_recovery_required_before_import,medium,recover_microberx_source_or_replace_with_rhea_brenda_metanetx_retrorules_rule,PMID:20397197;PMID:41571201
rule_import,A,phloroglucinol carboxylic acid,phloroglucinol,blocked_until_external_evidence_or_rule_provenance,medium,continue_literature_database_verification,PUBMED_SEARCH_2026-06-04
rule_import,A,urolithin A,urolithin B,blocked_until_external_evidence_or_rule_provenance,medium,continue_literature_database_verification,PMID:29583112
rule_import,A,urolithin C,isourolithin A,blocked_until_external_evidence_or_rule_provenance,medium,continue_literature_database_verification,PMID:29583112
rule_import,A,urolithin C,urolithin A,blocked_until_external_evidence_or_rule_provenance,medium,continue_literature_database_verification,PMID:39856097
rule_import,B,2'-fucosyllactose,L-fucose,source_recovery_required_before_import,medium,recover_microberx_source_or_replace_with_rhea_brenda_metanetx_retrorules_rule,PMID:19520709;PMID:31138818
positive_curation,A,caffeic acid,dihydrocaffeic acid,eligible_after_exact_extraction_and_rule_source_check,high,re-fetch PubMed/DOI and extract exact assay context before training,PMID:40528807;DOI:10.1002/jsfa.70000
positive_curation,A,ethyl ferulate,ferulic acid,eligible_after_exact_extraction_and_rule_provenance_recovery,high,extract exact substrate list and replace/annotate rule with esterase EC/source provenance,PMID:19502437
positive_curation,A,urolithin A,urolithin B,eligible_after_exact_extraction_and_rule_provenance_recovery,high,extract exact urolithin A to B route and strain context,PMID:29583112
positive_curation,A,urolithin C,urolithin A,eligible_after_exact_extraction_and_rule_provenance_recovery,high,use as high-priority exact positive and recover rule provenance,PMID:39856097
positive_curation,A,urolithin C,isourolithin A,eligible_after_exact_extraction_and_rule_provenance_recovery,high,extract isourolithin A route and stereochemical/regioselective notes,PMID:29583112
positive_curation,B,2'-fucosyllactose,L-fucose,eligible_after_exact_extraction_and_rule_provenance_recovery,high,move to glycan/HMO family and extract fucose-release evidence,PMID:31138818
positive_curation,B,2'-fucosyllactose,L-fucose,eligible_after_exact_extraction_and_rule_provenance_recovery,high,use as enzyme/rule support with exact substrate check,PMID:19520709
positive_curation,A,pinoresinol,lariciresinol,eligible_after_exact_extraction_and_rule_source_check,high,import RetroRules candidate after source-reaction check,PMID:12736449
positive_curation,A,lariciresinol,secoisolariciresinol,eligible_after_exact_extraction_and_rule_source_check,high,extract exact step and human microflora/assay context,PMID:11453749
positive_curation,A,isoxanthohumol,8-prenylnaringenin,eligible_after_exact_extraction_and_rule_provenance_recovery,high,extract exact xanthohumol/isoxanthohumol/8-prenylnaringenin route,PMID:20397197
positive_curation,A,isoxanthohumol,8-prenylnaringenin,mechanism_support_only_not_training_positive,medium,use only as supporting context,PMID:41571201
positive_curation,A,quercetin,taxifolin,mechanism_support_only_not_training_positive,medium,search exact quercetin reduction or keep as rule-only challenge control,PMID:36432010
positive_curation,A,phloroglucinol carboxylic acid,phloroglucinol,not_training_positive_in_round6,medium,retry with Eubacterium ramulus flavonol degradation and exact metabolite synonyms,PUBMED_SEARCH_2026-06-04
