module,sb,pb,substrate_name,product_name,hit_rule_count,rule_sources,rule_ec_numbers,rule_ec_classes,rule_legacy_ids,rule_ids,max_rule_score,min_rule_diameter,gap_families,round4_row_ids,round5_decision,decision_reason,remaining_verification,positive_sample_status,negative_sample_status,next_pipeline_step,rule_id,rule_smarts,rule_source,rule_legacy_id,rule_ec_number,rule_ec_class,rule_diameter,rule_score,rule_applicable_structure_type,evidence_source_ids,evidence_titles,evidence_types,exact_reaction_support,positive_sample_use,rule_import_use,verification_statuses,caveats,next_actions,round6_rule_import_status,import_allowed_round6,import_blocker,next_rule_action,training_allowed_round6,label_if_generated,holdout_guard
A,QAIPRVGONGVQAS,DZAUWHJDUNRCTF,caffeic acid,dihydrocaffeic acid,5,retrorules,1.14.11.-;1.3.1;1.3.1.42;1.3.1.44;1.3.1.9;1.3.99.2;NOEC,oxidoreductase,MNXR108148_MNXM1507;MNXR110166_MNXM54963;MNXR116483_MNXM858;MNXR122338_MNXM10194;MNXR95305_MNXM214,retrorules_RR-02-025d2f2b175b399d-02-F;retrorules_RR-02-3c3ed4d870e2868f-02-F;retrorules_RR-02-42f65fb0d6694456-02-F;retrorules_RR-02-5d07d26916b98c23-02-F;retrorules_RR-02-64c777dae538a974-02-F,2.478566495593844,2.0,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0005,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check,retrorules_RR-02-64c777dae538a974-02-F,([#6&v4:1]-[#6&v4:2](=[#6&v4:3](-[#6&v4:4])-[#1&v1:5])-[#1&v1:6])>>([#6&v4:1]-[#6&v4:2](-[#6&v4:3](-[#6&v4:4])(-[#1&v1:5])-[#1&v1])(-[#1&v1:6])-[#1&v1]),retrorules,MNXR95305_MNXM214,1.3.1.44;1.3.1.9;1.3.99.2,oxidoreductase,2.0,2.478566495593844,reaction_center_rule,PMID:40528807;DOI:10.1002/jsfa.70000,Local Round2 curated source for caffeic acid reduction to dihydrocaffeic acid.,in_vivo_and_in_vitro,yes_if_source_rechecked,allowed_after_source_recheck,allowed_after_retrorules_source_reaction_check,local_source_present_not_rechecked_this_round,Round5 PubMed query focused on rule recovery and did not re-fetch this PMID; keep source as pending recheck.,re-fetch PubMed/DOI and extract exact assay context before training,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,5,retrorules,1.14.13.120;1.23.1.2,oxidoreductase,MNXR112992_MNXM4141;MNXR113586_MNXM59759,retrorules_RR-02-0b00df2834267ac5-06-F;retrorules_RR-02-52fecacfebc0f6ff-02-F;retrorules_RR-02-5dc6a2fa72df8f25-08-F;retrorules_RR-02-68cf65e608353cc6-02-F;retrorules_RR-02-6e65fcb1937ae4ff-10-F,0.3010299956639812,2.0,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check,retrorules_RR-02-68cf65e608353cc6-02-F,([#6&v4:1]-[#6&v4:2](-[#1&v1:3])(-[#6&v4:4])-[#8&v2:5]-[#6&v4:6])>>([#6&v4:1]-[#6&v4:2](-[#6&v4:4])(-[#1&v1:3])-[#1&v1].[#6&v4:6]-[#8&v2:5]-[#1&v1]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,2.0,0.3010299956639812,reaction_center_rule,PMID:11453749,In vitro metabolism of plant lignans: new precursors of mammalian lignans enterolactone and enterodiol.,in_vitro_human_metabolism,yes_if_exact_step_extracted,allowed_after_exact_step_extraction,allowed_after_retrorules_source_reaction_check,verified_pubmed_summary,Round5 evidence supports lignan metabolism family; exact lariciresinol -> secoisolariciresinol step must be extracted.,extract exact step and human microflora/assay context,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,5,retrorules,1.14.13.120;1.23.1.1;1.23.1.2,oxidoreductase,MNXR112992_MNXM4141;MNXR113585_MNXM5999;MNXR113586_MNXM59759,retrorules_RR-02-0b00df2834267ac5-06-F;retrorules_RR-02-125382cd7adadba8-08-F;retrorules_RR-02-406e9ae3acd5a5b1-14-F;retrorules_RR-02-52fecacfebc0f6ff-02-F;retrorules_RR-02-68cf65e608353cc6-02-F,0.7781512503836436,2.0,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check,retrorules_RR-02-68cf65e608353cc6-02-F,([#6&v4:1]-[#6&v4:2](-[#1&v1:3])(-[#6&v4:4])-[#8&v2:5]-[#6&v4:6])>>([#6&v4:1]-[#6&v4:2](-[#6&v4:4])(-[#1&v1:3])-[#1&v1].[#6&v4:6]-[#8&v2:5]-[#1&v1]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,2.0,0.3010299956639812,reaction_center_rule,PMID:12736449,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",human_intestinal_microflora_and_isolate,yes,allowed_after_stereochemistry_check,allowed_after_retrorules_source_reaction_check,verified_pubmed_summary,Strong exact-pair candidate; check aglycone/glycoside state and stereochemistry before final row.,import RetroRules candidate after source-reaction check,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,REFJWTPEDVJJIY,CXQWRCVTCMQVQX,quercetin,taxifolin,5,retrorules,1.14.11.23,oxidoreductase,MNXR107338_MNXM620;MNXR107965_MNXM1672;MNXR110332_MNXM1936,retrorules_RR-02-134a037b7127a179-04-F;retrorules_RR-02-2a689267432f3df6-04-F;retrorules_RR-02-80f4118a337ce901-02-F;retrorules_RR-02-d8647f0e1923b7f7-04-F;retrorules_RR-02-e2d2f85fdc8611e4-02-F,1.4771212547196624,2.0,flavonol_ring_fission,round2_flavonol_ring_fission_0068,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check,retrorules_RR-02-80f4118a337ce901-02-F,([#6&v4:1]:[#6&v4:2]1:[#6&v4:3](:[#8&v2:4]:[#6&v4:5](-[#6&v4:6]):[#6&v4:7](-[#8&v2:8]):[#6&v4:9]:1=[#8&v2:10]):[#6&v4:11])>>([#6&v4:1]:[#6&v4:2]1:[#6&v4:3](:[#6&v4:11])-[#8&v2:4]-[#6&v4:5](-[#6&v4:6])(-[#1&v1])-[#6&v4:7](-[#8&v2:8])(-[#1&v1])-[#6&v4:9]-1=[#8&v2:10]),retrorules,MNXR110332_MNXM1936,1.14.11.23,oxidoreductase,2.0,1.4771212547196624,reaction_center_rule,PMID:36432010,"Structural Basis for (2R,3R)-Taxifolin Binding and Reaction Products to the Bacterial Chalcone Isomerase of Eubacterium ramulus.",enzyme_structure_and_reaction_products,mechanism_support_only,do_not_add_until_exact_quercetin_to_taxifolin_evidence,allowed_as_rule_mechanism_support_only,verified_pubmed_summary,This supports taxifolin/Eubacterium ramulus enzyme context but not necessarily quercetin -> taxifolin exact conversion.,search exact quercetin reduction or keep as rule-only challenge control,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",verify_retrorules_source_reaction_then_import_to_evidence_tiered_rule_pool,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,5,microberx,,,3HBBUTH_LR;AAEAAH_LR;ACAH_LR;ACHEe_LR,microberx_3HBBUTH_LR;microberx_AAEAAH_LR;microberx_ACAH_LR;microberx_ACHEe_LR,1.0,,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative,microberx_3HBBUTH_LR,[#6&!R:2]-[#8&!R:3]-[#6&!R:12](-[#6&!R:11])=[#8&!R:13]>>[#6&!R:2]-[#8&!R:3].[#6&!R:11]-[#6&!R:12](=[#8&!R:13])-[#8&-&!R:14].[#1&+&!R:15],microberx,3HBBUTH_LR,,,,1.0,mapped_substrate_smiles,PMID:19502437,Biochemical properties of two cinnamoyl esterases purified from a Lactobacillus johnsonii strain isolated from stool samples of diabetes-resistant rats.,purified_enzyme_from_stool_isolate,yes,allowed_after_exact_substrate_table_check,microberx_rule_needs_source_recovery_or_replacement,verified_pubmed_summary,Evidence supports cinnamoyl/feruloyl ester hydrolysis but MicrobeRX rule lacks EC/source reaction in master row.,extract exact substrate list and replace/annotate rule with esterase EC/source provenance,source_recovery_required_before_import,False,"Pair has promising PubMed support, but recovered rule is MicrobeRX-only or lacks EC/source-reaction provenance.",recover_microberx_source_or_replace_with_rhea_brenda_metanetx_retrorules_rule,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,isoxanthohumol,8-prenylnaringenin,5,microberx,,,1331TAALThr_LR;1513DTACRhr_LR;1531TACRhr_LR;15DMThr_LR;31DMThr_LR,microberx_1331TAALThr_LR;microberx_1513DTACRhr_LR;microberx_1531TACRhr_LR;microberx_15DMThr_LR;microberx_31DMThr_LR,1.0,,flavanone_ring_fission;lignan_multistep_demethylation_dehydroxylation,round2_flavanone_ring_fission_0065;round2_lignan_multistep_demethylation_dehydroxylation_0055,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative,microberx_1331TAALThr_LR,"[#6&R1&R:46]-[#8&!R:47]-[#6&!R:56]>>[#6&R1&R:46]-[#8&!R:47].[#6&!R:56]-[#16&+&!R:57](-[#6&!R:58]-[#6&!R:59]-[#6&!R:60](-[#7&+&!R:61])-[#6&!R:62](=[#8&!R:63])-[#8&-&!R:64])-[#6&!R:65]-[#6&R1&R:66]1-[#8&R1&R:67]-[#6&R1&R:68](-[#7&R1&R&a:69]2-,=,:[#6&R1&R&a:70]-,=,:[#7&R1&R&a:71]-,=,:[#6&R2&R&a:72]3:[#6&R1&R&a:73]([#7&!R:74]):[#7&R1&R&a:75]:[#6&R1&R&a:76]:[#7&R1&R&a:77]:[#6&R2&R&a:78]-,=,:2-,=,:3)-[#6&R1&R:79](-[#8&!R:80])-[#6&R1&R:81]-1-[#8&!R:82]",microberx,1331TAALThr_LR,,,,1.0,mapped_substrate_smiles,PMID:20397197;PMID:41571201,"Gut microbiota-derived isoxanthohumol metabolite, 8-prenylnaringenin, mitigates endothelial dysfunction in Angiotensin II-induced hypertension through G protein-coupled estrogen receptor-mediated eNOS activation.;Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.",gut_microbiota_derived_metabolite_context;human_microbiota_associated_animal_model,supportive_not_sufficient;yes_if_exact_conversion_reported,allowed_after_exact_conversion_check;not_core_training_until_exact_conversion,microberx_rule_needs_source_recovery_or_replacement,verified_pubmed_summary,"HMA rat context is useful but not an isolate; verify direct isoxanthohumol to 8-prenylnaringenin conversion.;Supports metabolite relationship but is downstream health-model context, not necessarily exact training evidence.",extract exact xanthohumol/isoxanthohumol/8-prenylnaringenin route;use only as supporting context,source_recovery_required_before_import,False,"Pair has promising PubMed support, but recovered rule is MicrobeRX-only or lacks EC/source-reaction provenance.",recover_microberx_source_or_replace_with_rhea_brenda_metanetx_retrorules_rule,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,IBHWREHFNDMRPR,QCDYQQDYXPDABM,phloroglucinol carboxylic acid,phloroglucinol,3,microberx,,,AMHAMT_RL;HIPDC_LR;MBQMT_RL,microberx_AMHAMT_RL;microberx_HIPDC_LR;microberx_MBQMT_RL,1.0,,flavonol_ring_fission,round2_flavonol_ring_fission_0071,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative,microberx_AMHAMT_RL,"[#6&!R:1][#6&R1&R&a:2]1:[#6&R1&R&a:3]:[#6&R1&R&a:4]:[#6&R1&R&a:5]:[#6&R1&R&a:9]:[#6&R1&R&a:11]:1>>[#6&R1&R&a:2]1:[#6&R1&R&a:3]:[#6&R1&R&a:4]:[#6&R1&R&a:5]:[#6&R1&R&a:9]:[#6&R1&R&a:11]:1.[#6&!R:1]-[#16&+&!R:27](-[#6&!R:26]-[#6&R1&R:25]1-[#8&R1&R:24]-[#6&R1&R:23](-[#7&R1&R&a:22]2-,=,:[#6&R2&R&a:18]3:[#7&R1&R&a:17]:[#6&R1&R&a:16]:[#7&R1&R&a:15]:[#6&R1&R&a:14]([#7&!R:13]):[#6&R2&R&a:19]-,=,:3-,=,:[#7&R1&R&a:20]-,=,:[#6&R1&R&a:21]-,=,:2)-[#6&R1&R:37](-[#8&!R:38])-[#6&R1&R:35]-1-[#8&!R:36])-[#6&!R:28]-[#6&!R:29]-[#6&!R:30](-[#7&+&!R:31])-[#6&!R:32](=[#8&!R:33])-[#8&-&!R:34]",microberx,AMHAMT_RL,,,,1.0,mapped_substrate_smiles,PUBMED_SEARCH_2026-06-04,Exact query returned 0 records for phloroglucinol carboxylic acid -> phloroglucinol.,literature_search,no,no_positive_from_this_query,microberx_rule_needs_source_recovery_or_replacement,verified_pubmed_no_hit,Zero query result is not evidence of absence; local Round2/Round3 used flavonol degradation context.,retry with Eubacterium ramulus flavonol degradation and exact metabolite synonyms,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,continue_literature_database_verification,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,urolithin A,urolithin B,1,microberx,,,RE2426C_RL,microberx_RE2426C_RL,1.0,,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0012,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative,microberx_RE2426C_RL,"[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1[#8&!R:18]>>[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1.[#8&!R:18]",microberx,RE2426C_RL,,,,1.0,mapped_substrate_smiles,PMID:29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",strain_fermentation,yes_if_table_confirms_exact_pair,allowed_after_exact_pair_extraction,microberx_rule_needs_source_recovery_or_replacement,local_prior_source_from_round2,Round5 broad query did not retrieve this exact PMID; Round2 manifest used it for urolithin A/B and isourolithin routes.,extract exact urolithin A to B route and strain context,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,continue_literature_database_verification,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,urolithin C,isourolithin A,1,microberx,,,RE2426C_RL,microberx_RE2426C_RL,1.0,,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0013,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative,microberx_RE2426C_RL,"[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1[#8&!R:18]>>[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1.[#8&!R:18]",microberx,RE2426C_RL,,,,1.0,mapped_substrate_smiles,PMID:29583112,"Ellagibacter isourolithinifaciens gen. nov., sp. nov., a new member of the family Eggerthellaceae, isolated from human gut.",strain_fermentation,yes_if_table_confirms_exact_pair,allowed_after_exact_pair_extraction,microberx_rule_needs_source_recovery_or_replacement,local_prior_source_from_round2,Exact regioselective product should be checked in paper tables; do not infer from family alone.,extract isourolithin A route and stereochemical/regioselective notes,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,continue_literature_database_verification,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,urolithin C,urolithin A,1,microberx,,,RE2426C_RL,microberx_RE2426C_RL,1.0,,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0011;round2_ellagitannin_urolithin_multistep_0015,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative,microberx_RE2426C_RL,"[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1[#8&!R:18]>>[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1.[#8&!R:18]",microberx,RE2426C_RL,,,,1.0,mapped_substrate_smiles,PMID:39856097,A multi-subunit molybdoenzyme removes the 9-hydroxyl group from urolithin C to generate urolithin A.,direct_enzyme_assay,yes,allowed_after_exact_source_recheck,microberx_rule_needs_source_recovery_or_replacement,local_prior_source_from_round2,Strong exact-pair claim is present in local Round2 source text; needs PubMed/DOI metadata recheck before final training.,use as high-priority exact positive and recover rule provenance,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,continue_literature_database_verification,False,candidate_only_not_positive_by_rule,keep_round2_holdouts_out_of_training
