round,pair_key,module,substrate_name,product_name,rule_id,rule_source,rule_ec_number,rule_ec_class,rule_legacy_id,rule_diameter,rule_score,source_reaction_check_status,exact_source_candidate_count,rule_generated_target,overlay_status_round12,overlay_dryrun_allowed_round12,deployment_promotion_allowed_round12,blocker_or_note,candidate_generator_role
12,HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,A,urolithin C,urolithin A,microberx_RE2426C_RL,microberx,,,RE2426C_RL,,1.0,microberx_rule_needs_source_recovery,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
12,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,2'-fucosyllactose,L-fucose,microberx_14BDGGH_LR,microberx,,,14BDGGH_LR,,1.0,microberx_rule_needs_source_recovery,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
12,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,2'-fucosyllactose,L-fucose,microberx_14BDGGH_RL,microberx,,,14BDGGH_RL,,1.0,,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
12,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,2'-fucosyllactose,L-fucose,microberx_14BGGH_LR,microberx,,,14BGGH_LR,,1.0,,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
12,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,pinoresinol,lariciresinol,retrorules_RR-02-125382cd7adadba8-08-F,retrorules,1.23.1.1,oxidoreductase,MNXR113585_MNXM5999,8.0,0.7781512503836436,,1,True,blocked_manual_source_direction_license_review,False,False,"Rule needs manual source, direction, stereochemistry, and license review before any overlay dry run.",blocked_generator_overlay_candidate
12,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,pinoresinol,lariciresinol,retrorules_RR-02-406e9ae3acd5a5b1-14-F,retrorules,1.23.1.1,oxidoreductase,MNXR113585_MNXM5999,14.0,0.7781512503836436,,1,True,blocked_manual_source_direction_license_review,False,False,"Rule needs manual source, direction, stereochemistry, and license review before any overlay dry run.",blocked_generator_overlay_candidate
12,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,pinoresinol,lariciresinol,retrorules_RR-02-0b00df2834267ac5-06-F,retrorules,1.23.1.2,oxidoreductase,MNXR113586_MNXM59759,6.0,0.3010299956639812,source_reaction_candidate_verified_not_imported,1,True,dryrun_candidate_source_traceable_rule,True,False,"RetroRules source reaction is verified and exact-pair evidence exists; dry-run overlay is allowed, but deployment promotion still needs license/direction/stereochemistry review.",source_traceable_generator_overlay
12,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,isoxanthohumol,8-prenylnaringenin,microberx_1331TAALThr_LR,microberx,,,1331TAALThr_LR,,1.0,microberx_rule_needs_source_recovery,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
12,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,isoxanthohumol,8-prenylnaringenin,microberx_1513DTACRhr_LR,microberx,,,1513DTACRhr_LR,,1.0,,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
12,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,isoxanthohumol,8-prenylnaringenin,microberx_1531TACRhr_LR,microberx,,,1531TACRhr_LR,,1.0,,1,True,blocked_microberx_source_recovery_required,False,False,"Rule can generate target, but source reaction provenance is MicrobeRX-only or unrecovered.",blocked_generator_overlay_candidate
