module,sb,pb,substrate_name,product_name,hit_rule_count,rule_sources,rule_ec_numbers,rule_ec_classes,rule_legacy_ids,rule_ids,max_rule_score,min_rule_diameter,gap_families,round4_row_ids,round5_decision,decision_reason,remaining_verification,positive_sample_status,negative_sample_status,next_pipeline_step
A,QAIPRVGONGVQAS,DZAUWHJDUNRCTF,caffeic acid,dihydrocaffeic acid,5,retrorules,1.14.11.-;1.3.1;1.3.1.42;1.3.1.44;1.3.1.9;1.3.99.2;NOEC,oxidoreductase,MNXR108148_MNXM1507;MNXR110166_MNXM54963;MNXR116483_MNXM858;MNXR122338_MNXM10194;MNXR95305_MNXM214,retrorules_RR-02-025d2f2b175b399d-02-F;retrorules_RR-02-3c3ed4d870e2868f-02-F;retrorules_RR-02-42f65fb0d6694456-02-F;retrorules_RR-02-5d07d26916b98c23-02-F;retrorules_RR-02-64c777dae538a974-02-F,2.478566495593844,2.0,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0005,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,5,retrorules,1.14.13.120;1.23.1.2,oxidoreductase,MNXR112992_MNXM4141;MNXR113586_MNXM59759,retrorules_RR-02-0b00df2834267ac5-06-F;retrorules_RR-02-52fecacfebc0f6ff-02-F;retrorules_RR-02-5dc6a2fa72df8f25-08-F;retrorules_RR-02-68cf65e608353cc6-02-F;retrorules_RR-02-6e65fcb1937ae4ff-10-F,0.3010299956639812,2.0,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check
A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,5,retrorules,1.14.13.120;1.23.1.1;1.23.1.2,oxidoreductase,MNXR112992_MNXM4141;MNXR113585_MNXM5999;MNXR113586_MNXM59759,retrorules_RR-02-0b00df2834267ac5-06-F;retrorules_RR-02-125382cd7adadba8-08-F;retrorules_RR-02-406e9ae3acd5a5b1-14-F;retrorules_RR-02-52fecacfebc0f6ff-02-F;retrorules_RR-02-68cf65e608353cc6-02-F,0.7781512503836436,2.0,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0041;round2_lignan_multistep_demethylation_dehydroxylation_0057,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check
A,REFJWTPEDVJJIY,CXQWRCVTCMQVQX,quercetin,taxifolin,5,retrorules,1.14.11.23,oxidoreductase,MNXR107338_MNXM620;MNXR107965_MNXM1672;MNXR110332_MNXM1936,retrorules_RR-02-134a037b7127a179-04-F;retrorules_RR-02-2a689267432f3df6-04-F;retrorules_RR-02-80f4118a337ce901-02-F;retrorules_RR-02-d8647f0e1923b7f7-04-F;retrorules_RR-02-e2d2f85fdc8611e4-02-F,1.4771212547196624,2.0,flavonol_ring_fission,round2_flavonol_ring_fission_0068,priority_rule_import_candidate,RetroRules rule has EC/source-reaction provenance and regenerated the target product.,"Check RetroRules/MetaNetX source reaction, license, direction, and exact literature pair before training.",not_added_by_rule_alone,not_applicable,build_rule_import_manifest_with_source_reaction_check
A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,5,microberx,,,3HBBUTH_LR;AAEAAH_LR;ACAH_LR;ACHEe_LR,microberx_3HBBUTH_LR;microberx_AAEAAH_LR;microberx_ACAH_LR;microberx_ACHEe_LR,1.0,,phenolic_ester_hydrolysis,round2_phenolic_ester_hydrolysis_0006,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative
A,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,isoxanthohumol,8-prenylnaringenin,5,microberx,,,1331TAALThr_LR;1513DTACRhr_LR;1531TACRhr_LR;15DMThr_LR;31DMThr_LR,microberx_1331TAALThr_LR;microberx_1513DTACRhr_LR;microberx_1531TACRhr_LR;microberx_15DMThr_LR;microberx_31DMThr_LR,1.0,,flavanone_ring_fission;lignan_multistep_demethylation_dehydroxylation,round2_flavanone_ring_fission_0065;round2_lignan_multistep_demethylation_dehydroxylation_0055,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative
A,IBHWREHFNDMRPR,QCDYQQDYXPDABM,phloroglucinol carboxylic acid,phloroglucinol,3,microberx,,,AMHAMT_RL;HIPDC_LR;MBQMT_RL,microberx_AMHAMT_RL;microberx_HIPDC_LR;microberx_MBQMT_RL,1.0,,flavonol_ring_fission,round2_flavonol_ring_fission_0071,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative
A,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,urolithin A,urolithin B,1,microberx,,,RE2426C_RL,microberx_RE2426C_RL,1.0,,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0012,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative
A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,urolithin C,isourolithin A,1,microberx,,,RE2426C_RL,microberx_RE2426C_RL,1.0,,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0013,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative
A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,urolithin C,urolithin A,1,microberx,,,RE2426C_RL,microberx_RE2426C_RL,1.0,,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0011;round2_ellagitannin_urolithin_multistep_0015,rule_candidate_needs_source_recovery,"MicrobeRX rule regenerated the target product, but the master row lacks EC and source-reaction metadata.",Recover MicrobeRX source reaction or replace with RetroRules/Rhea/BRENDA/MetaNetX rule before production import.,not_added_by_rule_alone,not_applicable,recover_missing_rule_provenance_or_find_database_alternative
