row_id,gap_family,candidate_status,module,substrate_name,product_name,sb,pb,in_reactions_parquet,reaction_tiers,selected_by_clean_builder,target_in_clean_positive,same_substrate_in_clean_candidates_full,clean_positive_products_for_substrate,truth_products_for_substrate,fullrule_pair_status,fullrule_pair_hit,fullrule_same_substrate_hits,exact_holdout_pair,source_id,validation_status_round2,route_loss_stage,recommended_fix
round2_phenolic_ester_hydrolysis_0001,phenolic_ester_hydrolysis,do_not_train_exact_holdout,A,chlorogenic acid,caffeic acid,CWVRJTMFETXNAD,QAIPRVGONGVQAS,True,gold,True,False,False,0,4,pair_hit,1,2,True,PMID:11412317;DOI:10.1046/j.1365-2672.2001.01316.x,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_phenolic_ester_hydrolysis_0002,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,DZAUWHJDUNRCTF,QVWAEZJXDYOKEH,True,gold,True,False,False,0,1,pair_miss,0,0,False,PMID:32067637;DOI:10.1016/j.cell.2020.01.005,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_phenolic_ester_hydrolysis_0003,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,caffeic acid,"3,4-dihydroxystyrene",QAIPRVGONGVQAS,FBTSUTGMWBDAAC,True,gold,True,False,True,1,4,pair_miss,0,1,False,PMID:18499214;DOI:10.1016/j.foodchem.2007.09.067,local_source_present_needs_external_check,target_product_not_generated,"Other products for the same substrate may be generated, but this target product is not; add a family-specific rule."
round2_phenolic_ester_hydrolysis_0004,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,caffeic acid,m-coumaric acid,QAIPRVGONGVQAS,KKSDGJDHHZEWEP,True,gold,True,False,True,1,4,pair_miss,0,1,False,DOI:10.1039/D0FO01649G,local_source_present_needs_external_check,target_product_not_generated,"Other products for the same substrate may be generated, but this target product is not; add a family-specific rule."
round2_phenolic_ester_hydrolysis_0005,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,caffeic acid,dihydrocaffeic acid,QAIPRVGONGVQAS,DZAUWHJDUNRCTF,True,gold,True,False,True,1,4,pair_hit,1,1,False,PMID:40528807;DOI:10.1002/jsfa.70000,local_source_present_needs_external_check,generated_in_audit_but_missing_from_clean,"Inspect canonicalization, clean_candidates_full generation parameters, duplicate handling, and post-generation filtering."
round2_phenolic_ester_hydrolysis_0006,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,ethyl ferulate,ferulic acid,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,True,gold,True,False,False,0,1,pair_hit,1,1,False,PMID:19502437;DOI:10.1128/AEM.02837-08,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_ellagitannin_urolithin_multistep_0007,ellagitannin_urolithin_multistep,do_not_train_exact_holdout,A,ellagic acid,urolithin A,AFSDNFLWKVMVRB,RIUPLDUFZCXCHM,False,,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_ellagitannin_urolithin_multistep_0008,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,ellagic acid,urolithin M5,AFSDNFLWKVMVRB,ZELMDXUEWHBWPN,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_ellagitannin_urolithin_multistep_0009,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin M5,urolithin M6,ZELMDXUEWHBWPN,LGXFTZDSEIQMMP,True,gold,True,False,False,0,1,pair_miss,0,0,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_ellagitannin_urolithin_multistep_0010,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin M6,urolithin C,LGXFTZDSEIQMMP,HHXMEXZVPJFAIJ,True,gold,True,False,False,0,2,pair_miss,0,1,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
