row_id,gap_family,candidate_status,module,substrate_name,product_name,sb,pb,in_reactions_parquet,reaction_tiers,selected_by_clean_builder,target_in_clean_positive,same_substrate_in_clean_candidates_full,clean_positive_products_for_substrate,truth_products_for_substrate,fullrule_pair_status,fullrule_pair_hit,fullrule_same_substrate_hits,exact_holdout_pair,source_id,validation_status_round2,route_loss_stage,recommended_fix,substrate_smiles_used,clean_default_rule_count,broad_rule_count,all_pool_rule_count,clean_default_generated_count,broad_generated_count,all_pool_generated_count,clean_default_hit,broad_rule_hit,all_pool_rule_hit,round4_rule_issue,round4_recommended_action
round2_phenolic_ester_hydrolysis_0002,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,DZAUWHJDUNRCTF,QVWAEZJXDYOKEH,True,gold,True,False,False,0,1,pair_miss,0.0,0,False,PMID:32067637;DOI:10.1016/j.cell.2020.01.005,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=C(O)CCc1ccc(O)c(O)c1,800,4408,4408,14,40,40,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_phenolic_ester_hydrolysis_0003,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,caffeic acid,"3,4-dihydroxystyrene",QAIPRVGONGVQAS,FBTSUTGMWBDAAC,True,gold,True,False,True,1,4,pair_miss,0.0,1,False,PMID:18499214;DOI:10.1016/j.foodchem.2007.09.067,local_source_present_needs_external_check,target_product_not_generated,"Other products for the same substrate may be generated, but this target product is not; add a family-specific rule.",O=C([O-])C=Cc1ccc(O)c(O)c1,800,4408,4408,27,83,83,False,True,True,rule_sampling_gap_in_clean_builder,Replace random rule sampling with deterministic evidence-tiered rule inclusion.
round2_phenolic_ester_hydrolysis_0004,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,caffeic acid,m-coumaric acid,QAIPRVGONGVQAS,KKSDGJDHHZEWEP,True,gold,True,False,True,1,4,pair_miss,0.0,1,False,DOI:10.1039/D0FO01649G,local_source_present_needs_external_check,target_product_not_generated,"Other products for the same substrate may be generated, but this target product is not; add a family-specific rule.",O=C([O-])C=Cc1ccc(O)c(O)c1,800,4408,4408,27,83,83,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_phenolic_ester_hydrolysis_0005,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,caffeic acid,dihydrocaffeic acid,QAIPRVGONGVQAS,DZAUWHJDUNRCTF,True,gold,True,False,True,1,4,pair_hit,1.0,1,False,PMID:40528807;DOI:10.1002/jsfa.70000,local_source_present_needs_external_check,generated_in_audit_but_missing_from_clean,"Inspect canonicalization, clean_candidates_full generation parameters, duplicate handling, and post-generation filtering.",O=C([O-])C=Cc1ccc(O)c(O)c1,800,4408,4408,27,83,83,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_phenolic_ester_hydrolysis_0006,phenolic_ester_hydrolysis,pipeline_recovery_candidate,A,ethyl ferulate,ferulic acid,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,True,gold,True,False,False,0,1,pair_hit,1.0,1,False,PMID:19502437;DOI:10.1128/AEM.02837-08,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,CCOC(=O)C=Cc1ccc(O)c(OC)c1,800,4408,4408,14,38,38,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_ellagitannin_urolithin_multistep_0008,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,ellagic acid,urolithin M5,AFSDNFLWKVMVRB,ZELMDXUEWHBWPN,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_ellagitannin_urolithin_multistep_0009,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin M5,urolithin M6,ZELMDXUEWHBWPN,LGXFTZDSEIQMMP,True,gold,True,False,False,0,1,pair_miss,0.0,0,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=c1oc2c(O)c(O)ccc2c2c(O)c(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_ellagitannin_urolithin_multistep_0010,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin M6,urolithin C,LGXFTZDSEIQMMP,HHXMEXZVPJFAIJ,True,gold,True,False,False,0,2,pair_miss,0.0,1,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=c1oc2cc(O)ccc2c2c(O)c(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_ellagitannin_urolithin_multistep_0011,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin C,urolithin A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,True,gold,True,False,False,0,2,pair_hit,1.0,2,False,PMID:39856097;DOI:10.1038/s41467-025-56266-2,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_ellagitannin_urolithin_multistep_0012,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin A,urolithin B,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,True,gold,True,False,False,0,1,pair_hit,1.0,1,False,PMID:29583112;DOI:10.1099/ijsem.0.002735,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,O=c1oc2cc(O)ccc2c2ccc(O)cc12,800,4408,4408,0,0,0,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
