case_id,substrate_name,expected_product_name,reaction_family,evidence_type,reference,challenge_role,production_question,expected_difficulty
chlorogenic_acid_caffeic_acid,chlorogenic acid,caffeic acid,phenolic_ester_hydrolysis,literature_curated,PMID:30113130,one_step_phenolic_ester,Can the model generalize from flavonoid glycosides to phenolic ester cleavage,medium
ellagic_acid_urolithin_a,ellagic acid,urolithin A,ellagitannin_urolithin_multistep,literature_curated,PMID:15998116,multistep_decarboxylation_dehydroxylation,Can the model handle multi-step urolithin formation from ellagic acid,high
daidzein_equol,daidzein,equol,isoflavone_reductive_metabolism,literature_curated,PMID:25594250,multistep_reductive_transformation,Can the model handle reductive isoflavone conversion beyond aglycone release,high
secoisolariciresinol_diglucoside_secoisolariciresinol,secoisolariciresinol diglucoside,secoisolariciresinol,lignan_deglucosylation,literature_curated,PMID:11086885,lignan_deglucosylation,Can the model transfer glycoside logic from flavonoids to lignans,medium
secoisolariciresinol_enterodiol,secoisolariciresinol,enterodiol,lignan_multistep_demethylation_dehydroxylation,literature_curated,PMID:11086885,lignan_multistep,Can the model reach enterolignan intermediates after aglycone release,high
enterodiol_enterolactone,enterodiol,enterolactone,lignan_oxidation,literature_curated,PMID:11086885,lignan_terminal_oxidation,Can the model rank a terminal oxidation in enterolignan metabolism,medium
caffeic_acid_dihydrocaffeic_acid,caffeic acid,dihydrocaffeic acid,hydroxycinnamate_reduction,literature_curated,PMID:5003182,phenolic_acid_side_chain_reduction,Can the model rank microbial hydrogenation of caffeic acid,medium
ferulic_acid_dihydroferulic_acid,ferulic acid,dihydroferulic acid,hydroxycinnamate_reduction,literature_curated,PMID:41698931,phenolic_acid_side_chain_reduction,Can the model rank microbial hydrogenation of ferulic acid,medium
p_coumaric_acid_phloretic_acid,p-coumaric acid,phloretic acid,hydroxycinnamate_reduction,literature_curated,PMID:25261518,phenolic_acid_side_chain_reduction,Can the model rank microbial hydrogenation of p-coumaric acid,medium
resveratrol_dihydroresveratrol,resveratrol,dihydroresveratrol,stilbene_reduction,literature_curated,PMID:35634412,stilbene_double_bond_reduction,Can the model rank gut microbiota-derived dihydroresveratrol,medium
resveratrol_lunularin,resveratrol,lunularin,stilbene_dehydroxylation,literature_curated,PMID:35634412,stilbene_downstream_dehydroxylation,Can the model reach downstream resveratrol microbial metabolites,high
catechin_valerolactone,catechin,"5-(3',4'-dihydroxyphenyl)-gamma-valerolactone",flavanol_ring_fission,literature_curated,PMID:17977475,flavanol_valerolactone,Can the model handle catechin C-ring fission to valerolactones,high
epicatechin_valerolactone,epicatechin,"5-(3',4'-dihydroxyphenyl)-gamma-valerolactone",flavanol_ring_fission,literature_curated,PMID:25045165,flavanol_valerolactone,Can the model handle epicatechin C-ring fission to valerolactones,high
naringenin_hydroxyphenylpropionic_acid,naringenin,3-(4-hydroxyphenyl)propionic acid,flavanone_ring_fission,literature_curated,PMCID:PMC6930535,flavanone_ring_fission,Can the model go beyond naringin aglycone release to ring-fission products,high
quercetin_dihydroxyphenylacetic_acid,quercetin,"3,4-dihydroxyphenylacetic acid",flavonol_ring_fission,literature_curated,PMCID:PMC7466208,flavonol_ring_fission,Can the model rank quercetin colonic ring-fission products,high
daidzein_dihydrodaidzein,daidzein,dihydrodaidzein,isoflavone_reduction,literature_curated,DOI:10.1128/AEM.02058-08,isoflavone_first_reduction,Can the model handle the first equol-pathway reduction step,medium
genistein_dihydrogenistein,genistein,dihydrogenistein,isoflavone_reduction,literature_curated,PMID:23542626,isoflavone_first_reduction,Can the model handle genistein bacterial reduction,medium
puerarin_daidzein,puerarin,daidzein,isoflavone_c_glycoside_conversion,literature_curated,PMID:17142977,isoflavone_glycoside_conversion,Can the model handle puerarin to daidzein conversion,medium
glycitin_glycitein,glycitin,glycitein,isoflavone_deglucosylation,literature_curated,PMID:26878882,isoflavone_deglucosylation,Can the model handle glycitin aglycone release,medium
gallic_acid_pyrogallol,gallic acid,pyrogallol,gallate_decarboxylation,literature_curated,PMID:30054365,gallate_decarboxylation,Can the model capture gut bacterial gallate decarboxylation,medium
urolithin_c_urolithin_a,urolithin C,urolithin A,urolithin_dehydroxylation,literature_curated,PMCID:PMC11760930,urolithin_dehydroxylation,Can the model capture urolithin C dehydroxylation to urolithin A,medium
punicalagin_ellagic_acid,punicalagin,ellagic acid,ellagitannin_hydrolysis,literature_curated,PMCID:PMC9801417,ellagitannin_hydrolysis,Can the model handle large ellagitannin hydrolysis to ellagic acid,high
