case_id	split_role	training_allowed	holdout_policy	reaction_family	substrate_name_en	substrate_name_zh	substrate_smiles	substrate_inchikey	product_name_en	product_name_zh	product_smiles	product_inchikey	transformation_class	evidence_type	reference	source_url	evidence_strength	current_gap	required_model_change	representation_ready	notes
chlorogenic_acid_caffeic_acid	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	phenolic_ester_hydrolysis	chlorogenic acid	绿原酸	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O	CWVRJTMFETXNAD-JUHZACGLSA-N	caffeic acid	咖啡酸	O=C(O)/C=C/c1ccc(O)c(O)c1	QAIPRVGONGVQAS-DUXPYHPUSA-N	ester_hydrolysis	literature_curated	PMID:30113130	https://pubmed.ncbi.nlm.nih.gov/30113130/	medium	current_candidate_generation_blocked	add_phenolic_ester_hydrolysis_rule_or_external_product_import	true	Holdout case resolves to machine-readable SMILES/InChIKey but must not be used to tune the challenge score.
ellagic_acid_urolithin_a	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	ellagitannin_urolithin_multistep	ellagic acid	鞣花酸	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	AFSDNFLWKVMVRB-UHFFFAOYSA-N	urolithin A	尿石素A	O=c1oc2cc(O)ccc2c2ccc(O)cc12	RIUPLDUFZCXCHM-UHFFFAOYSA-N	multistep_lactone_cleavage_decarboxylation_dehydroxylation	literature_curated	PMID:15998116	https://pubmed.ncbi.nlm.nih.gov/15998116/	high	current_candidate_generation_blocked	add_multistep_urolithin_pathway_candidates_with_stage_labels	true	Urolithin formation is a multi-step gut-microbial pathway; model should store intermediates/stage labels rather than one generic SMARTS.
daidzein_equol	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	isoflavone_reductive_metabolism	daidzein	大豆苷元	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	ZQSIJRDFPHDXIC-UHFFFAOYSA-N	equol	雌马酚	Oc1ccc([C@H]2COc3cc(O)ccc3C2)cc1	ADFCQWZHKCXPAJ-GFCCVEGCSA-N	multistep_isoflavone_reduction	literature_curated	PMID:25594250	https://pubmed.ncbi.nlm.nih.gov/25594250/	high	current_candidate_generation_blocked	add_isoflavone_reduction_intermediate_rules_and_equol_pathway_labels	true	Needs independent daidzein-to-dihydrodaidzein/tetrahydrodaidzein/equol cases for training.
secoisolariciresinol_diglucoside_secoisolariciresinol	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	lignan_deglucosylation	secoisolariciresinol diglucoside	开环异落叶松脂素二葡萄糖苷	COc1cc(C[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O	SBVBJPHMDABKJV-PGCJWIIOSA-N	secoisolariciresinol	开环异落叶松脂素	COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O	PUETUDUXMCLALY-HOTGVXAUSA-N	lignan_o_deglycosylation	literature_curated	PMID:11086885	https://pubmed.ncbi.nlm.nih.gov/11086885/	medium	current_candidate_generation_blocked	extend_glycoside_rescue_to_lignan_diglucosides_and_record_lignan_family	true	Do not assume flavonoid glycoside SMARTS fully covers lignan diglucosides.
secoisolariciresinol_enterodiol	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	lignan_multistep_demethylation_dehydroxylation	secoisolariciresinol	开环异落叶松脂素	COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O	PUETUDUXMCLALY-HOTGVXAUSA-N	enterodiol	肠二醇	OC[C@H](Cc1cccc(O)c1)[C@H](CO)Cc1cccc(O)c1	DWONJCNDULPHLV-HOTGVXAUSA-N	multistep_demethylation_dehydroxylation	literature_curated	PMID:11086885	https://pubmed.ncbi.nlm.nih.gov/11086885/	high	current_candidate_generation_blocked	add_enterolignan_pathway_intermediates_not_single_step_shortcuts	true	Needs organism/step evidence and independent examples before rule generalization.
enterodiol_enterolactone	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	lignan_oxidation	enterodiol	肠二醇	OC[C@H](Cc1cccc(O)c1)[C@H](CO)Cc1cccc(O)c1	DWONJCNDULPHLV-HOTGVXAUSA-N	enterolactone	肠内酯	O=C1OC[C@@H](Cc2cccc(O)c2)[C@@H]1Cc1cccc(O)c1	HVDGDHBAMCBBLR-PBHICJAKSA-N	lignan_dehydrogenation_lactonization	literature_curated	PMID:11086885	https://pubmed.ncbi.nlm.nih.gov/11086885/	medium	current_candidate_generation_blocked	add_lignan_terminal_oxidation_lactone_candidate_generation	true	Terminal oxidation should be a separate rule family from reductive gut transformations.
catechin_valerolactone	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	flavanol_ring_fission	catechin	儿茶素	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2	PFTAWBLQPZVEMU-DZGCQCFKSA-N	5-(3',4'-dihydroxyphenyl)-gamma-valerolactone	5-(3,4-二羟基苯基)-γ-戊内酯	O=C1CCC(Cc2ccc(O)c(O)c2)O1	ZNXXWTPQHVLMQT-UHFFFAOYSA-N	flavanol_c_ring_fission_to_valerolactone	literature_curated	PMID:17977475	https://pubmed.ncbi.nlm.nih.gov/17977475/	high	current_candidate_generation_blocked	add_flavanol_c_ring_fission_templates_or_curated_external_import	true	Ring fission is a major top-literature gap and should not be modeled as simple dehydroxylation.
epicatechin_valerolactone	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	flavanol_ring_fission	epicatechin	表儿茶素	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2	PFTAWBLQPZVEMU-UKRRQHHQSA-N	5-(3',4'-dihydroxyphenyl)-gamma-valerolactone	5-(3,4-二羟基苯基)-γ-戊内酯	O=C1CCC(Cc2ccc(O)c(O)c2)O1	ZNXXWTPQHVLMQT-UHFFFAOYSA-N	flavanol_c_ring_fission_to_valerolactone	literature_curated	PMID:25045165	https://pubmed.ncbi.nlm.nih.gov/25045165/	high	current_candidate_generation_blocked	add_flavanol_c_ring_fission_templates_or_curated_external_import	true	Stereoisomer handling matters; strict full-InChIKey should remain reported.
naringenin_hydroxyphenylpropionic_acid	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	flavanone_ring_fission	naringenin	柚皮素	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21	FTVWIRXFELQLPI-ZDUSSCGKSA-N	3-(4-hydroxyphenyl)propionic acid	3-(4-羟基苯基)丙酸	O=C(O)CCc1ccc(O)cc1	NMHMNPHRMNGLLB-UHFFFAOYSA-N	flavanone_ring_fission_to_phenylpropionic_acid	literature_curated	PMCID:PMC6930535	https://pmc.ncbi.nlm.nih.gov/articles/PMC6930535/	high	current_candidate_generation_blocked	add_flavanone_ring_fission_to_phenylpropionic_acid_family	true	This is downstream of aglycone release and should be tracked as separate from naringin-to-naringenin.
quercetin_dihydroxyphenylacetic_acid	benchmark_holdout	false	do_not_train_until_replaced_by_independent_cases	flavonol_ring_fission	quercetin	槲皮素	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	REFJWTPEDVJJIY-UHFFFAOYSA-N	3,4-dihydroxyphenylacetic acid	3,4-二羟基苯乙酸	O=C(O)Cc1ccc(O)c(O)c1	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	flavonol_ring_fission_to_phenylacetic_acid	literature_curated	PMCID:PMC7466208	https://pmc.ncbi.nlm.nih.gov/articles/PMC7466208/	high	current_candidate_generation_blocked	add_flavonol_ring_fission_to_low_molecular_weight_phenolics	true	Requires small phenolic acid outputs, not only aglycone products.
