panel,reaction_family,case_count,expected_generated_count,expected_in_candidate_pool_count,candidate_pool_recall,connectivity_top5_hit_count,stereo_mismatch_top5_count,top5_hit_count,top5_hit_rate,benchmark_traceable_count,benchmark_traceability_rate,model_evidence_count,model_evidence_rate,top_failure_type,production_gap,recommended_next_action
core,glycoside_hydrolysis,6,6,6,1.0,6,0,6,1.0,6,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
challenge,ellagitannin_hydrolysis,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,ellagitannin_urolithin_multistep,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,flavanol_ring_fission,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,flavanone_ring_fission,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,flavonol_ring_fission,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,gallate_decarboxylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
challenge,hydroxycinnamate_reduction,3,3,3,1.0,3,0,3,1.0,3,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
challenge,isoflavone_c_glycoside_conversion,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,isoflavone_deglucosylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
