module,method,n_pts,mrr,r@1,r@5
A,tanimoto,10,0.529±0.055,0.402±0.105,0.695±0.036
A,random,10,0.273±0.041,0.119±0.041,0.430±0.075
A,ec_only,10,0.255±0.051,0.113±0.052,0.390±0.096
A,LTR_chem,10,0.722±0.058,0.588±0.087,0.910±0.033
A,LTR_full,10,0.717±0.055,0.571±0.082,0.893±0.012
A,ensemble,10,0.623±0.041,0.475±0.058,0.808±0.042
B,tanimoto,10,0.357±0.088,0.184±0.094,0.600±0.160
B,random,10,0.244±0.069,0.101±0.086,0.356±0.083
B,ec_only,10,0.277±0.056,0.130±0.046,0.454±0.059
B,LTR_chem,10,0.701±0.078,0.555±0.075,0.915±0.082
B,LTR_full,10,0.791±0.084,0.694±0.120,0.944±0.047
B,ensemble,10,0.577±0.075,0.397±0.093,0.852±0.082
C,tanimoto,10,0.410±0.098,0.239±0.112,0.614±0.068
C,random,10,0.357±0.078,0.173±0.077,0.549±0.086
C,ec_only,10,0.345±0.045,0.163±0.064,0.558±0.055
C,LTR_chem,10,0.759±0.071,0.635±0.105,0.933±0.023
C,LTR_full,10,0.764±0.031,0.635±0.061,0.932±0.025
C,ensemble,10,0.617±0.058,0.450±0.083,0.845±0.059
D,tanimoto,10,0.798±0.110,0.683±0.156,0.956±0.089
D,random,10,0.476±0.120,0.261±0.157,0.793±0.094
D,ec_only,10,0.457±0.107,0.258±0.145,0.700±0.146
D,LTR_chem,10,0.826±0.052,0.719±0.094,1.000±0.000
D,LTR_full,10,0.825±0.062,0.697±0.115,1.000±0.000
D,ensemble,10,0.851±0.105,0.769±0.120,0.956±0.089
